Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
25	66	0	6.97001E-13	4.4608E-13	25	67	0	1.35E-13	8.64001E-14
25	68	0	1.01E-14	6.46401E-15	26	66	0	2.57E-10	1.6448E-10
26	67	0	1.13E-10	7.23201E-11	26	68	0	6.08001E-11	3.8912E-11
26	69	0	1.23E-11	7.87201E-12	26	70	0	1.74E-12	1.1136E-12
26	71	0	9.67001E-14	6.18881E-14	27	66	0	3.23E-10	2.0672E-10
27	67	0	8.12001E-10	5.1968E-10	27	68	0	8.95001E-10	5.728E-10
27	69	0	1.24E-9	7.93601E-10	27	70	0	4.09E-10	2.6176E-10
27	71	0	1.71E-10	1.0944E-10	27	72	0	2.9E-11	1.856E-11
27	73	0	2.19E-12	1.4016E-12	27	74	0	7.12001E-14	4.5568E-14
27	77	0	5.35121E-18	3.42477E-18	28	66	0	2.71E-10	1.7344E-10
28	67	0	1.21E-9	7.74401E-10	28	68	0	7.02001E-9	4.4928E-9
28	69	0	1.83E-8	1.1712E-8	28	70	0	3.57E-8	2.2848E-8
28	71	0	3.28E-8	2.0992E-8	28	72	0	3.94E-8	2.5216E-8
28	73	0	7.05001E-9	4.512E-9	28	74	0	1.74E-9	1.1136E-9
28	75	0	2.39E-10	1.5296E-10	28	76	0	2.67E-11	1.7088E-11
28	77	0	1.3E-12	8.31997E-13	28	78	0	3.69E-14	2.3616E-14
28	79	0	3.51154E-15	2.24738E-15	29	66	0	7.76001E-13	4.9664E-13
29	67	0	2.23E-11	1.4272E-11	29	68	0	7.68001E-11	4.9152E-11
29	68	1	1.79E-10	1.1456E-10	29	69	0	3.8E-9	2.432E-9
29	70	0	3.24E-9	2.0736E-9	29	70	1	9.71001E-9	6.21441E-9
29	71	0	6.54001E-8	4.1856E-8	29	72	0	1.53E-7	9.79201E-8
29	73	0	1.68E-7	1.0752E-7	29	74	0	9.47001E-8	6.06081E-8
29	75	0	9.42001E-8	6.02881E-8	29	76	0	2.53E-8	1.6192E-8
29	77	0	9.43001E-9	6.03521E-9	29	78	0	6.72001E-10	4.3008E-10
29	79	0	3.75997E-10	2.40638E-10	29	80	0	9.89001E-12	6.32961E-12
29	81	0	2.02E-13	1.2928E-13	30	67	0	5.02E-14	3.2128E-14
30	68	0	4.04E-12	2.5856E-12	30	69	0	2.61E-11	1.6704E-11
30	69	1	1.11E-10	7.10401E-11	30	70	0	2.91E-9	1.8624E-9
30	71	0	5.49E-9	3.5136E-9	30	71	1	2.34E-8	1.4976E-8
30	72	0	3.73E-7	2.3872E-7	30	73	0	7.18001E-7	4.5952E-7
30	74	0	2.28E-6	1.4592E-6	30	75	0	4.59E-6	2.9376E-6
30	76	0	7.86001E-6	5.0304E-6	30	77	0	6.87001E-6	4.3968E-6
30	78	0	3.48E-6	2.2272E-6	30	79	0	4.74E-6	3.0336E-6
30	80	0	9.31001E-7	5.95841E-7	30	81	0	4.78E-8	3.0592E-8
30	82	0	1.28E-9	8.19201E-10	30	83	0	8.55001E-12	5.472E-12
