Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
22	66	0	1.41803E-15	9.07539E-16	23	66	0	6.59927E-12	4.22353E-12
23	67	0	9.44913E-14	6.04744E-14	23	68	0	2.74701E-14	1.75809E-14
23	69	0	8.35098E-15	5.34462E-15	24	66	0	3.2334E-9	2.06938E-9
24	67	0	6.56906E-10	4.2042E-10	24	68	0	1.90973E-10	1.22222E-10
24	69	0	5.80561E-11	3.71559E-11	24	70	0	1.57E-12	1.0048E-12
24	71	0	1.10638E-13	7.08082E-14	24	72	0	2.07453E-14	1.3277E-14
25	66	0	1.61E-7	1.0304E-7	25	67	0	8.52E-8	5.4528E-8
25	68	0	6.42E-8	4.1088E-8	25	69	0	1.90419E-8	1.21868E-8
25	70	0	3.82E-9	2.4448E-9	25	71	0	5.14889E-10	3.29529E-10
25	72	0	9.65449E-11	6.17887E-11	25	73	0	1.18078E-12	7.557E-13
25	74	0	1.13907E-13	7.29007E-14	26	66	0	7.39E-7	4.7296E-7
26	67	0	9.42E-7	6.0288E-7	26	68	0	1.73E-6	1.1072E-6
26	69	0	1.31E-6	8.384E-7	26	70	0	6.74E-7	4.3136E-7
26	71	0	2.44E-7	1.5616E-7	26	72	0	4.73034E-8	3.02742E-8
26	73	0	8.20882E-9	5.25364E-9	26	74	0	7.91886E-10	5.06807E-10
26	75	0	2.0237E-11	1.29517E-11	26	76	0	1.3E-12	8.32E-13
26	77	0	2.72664E-13	1.74505E-13	27	66	0	3.65E-7	2.336E-7
27	67	0	1.08E-6	6.912E-7	27	68	0	4.5E-6	2.88E-6
27	69	0	8.11E-6	5.1904E-6	27	70	0	9.92E-6	6.3488E-6
27	71	0	9.0E-6	5.76E-6	27	72	0	4.53E-6	2.8992E-6
27	73	0	2.13E-6	1.3632E-6	27	74	0	5.85E-7	3.744E-7
27	75	0	9.41798E-8	6.0275E-8	27	76	0	8.8E-9	5.632E-9
27	77	0	1.26893E-9	8.12118E-10	27	78	0	1.11031E-11	7.10598E-12
27	79	0	2.26919E-12	1.45228E-12	28	66	0	1.79E-8	1.1456E-8
28	67	0	1.31E-7	8.384E-8	28	68	0	1.27E-6	8.128E-7
28	69	0	5.35E-6	3.424E-6	28	70	0	1.483E-5	9.4912E-6
28	71	0	3.145E-5	2.0128E-5	28	72	0	3.781E-5	2.41984E-5
28	73	0	4.5E-5	2.88E-5	28	74	0	3.299E-5	2.11136E-5
28	75	0	1.499E-5	9.5936E-6	28	76	0	4.16E-6	2.6624E-6
28	77	0	6.21731E-7	3.97908E-7	28	78	0	7.71889E-8	4.94009E-8
28	79	0	1.57755E-8	1.00963E-8	28	80	0	2.92E-10	1.8688E-10
28	81	0	1.54463E-11	9.88564E-12	28	82	0	1.95E-13	1.248E-13
29	66	0	7.72E-11	4.9408E-11	29	67	0	1.38E-9	8.832E-10
29	68	0	6.11E-9	3.9104E-9	29	68	1	2.78E-8	1.7792E-8
