Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
22	66	0	1.81562E-20	1.162E-20	23	66	0	9.64206E-16	6.17092E-16
23	67	0	5.95247E-18	3.80958E-18	23	68	0	7.11979E-19	4.55667E-19
23	69	0	1.604E-19	1.02656E-19	24	66	0	3.17896E-12	2.03454E-12
24	67	0	5.55982E-13	3.55828E-13	24	68	0	7.82975E-14	5.01104E-14
24	69	0	1.49819E-14	9.58843E-15	24	71	0	2.78272E-18	1.78094E-18
25	66	0	5.14988E-10	3.29593E-10	25	67	0	3.81991E-10	2.44474E-10
25	68	0	1.62996E-10	1.04318E-10	25	69	0	2.80844E-11	1.7974E-11
25	70	0	2.28995E-12	1.46557E-12	25	71	0	1.73993E-13	1.11356E-13
25	72	0	1.66401E-15	1.06497E-15	25	73	0	1.03847E-16	6.64622E-17
25	74	0	4.37372E-18	2.79918E-18	26	66	0	7.42983E-9	4.75509E-9
26	67	0	1.46997E-8	9.40779E-9	26	68	0	2.40995E-8	1.54237E-8
26	69	0	1.23997E-8	7.93582E-9	26	70	0	4.16991E-9	2.66874E-9
26	71	0	9.99977E-10	6.39986E-10	26	72	0	1.82994E-10	1.17116E-10
26	73	0	9.69968E-12	6.20779E-12	26	74	0	4.80985E-13	3.0783E-13
26	75	0	5.08567E-15	3.25483E-15	26	77	0	6.45139E-17	4.12889E-17
27	66	0	3.21993E-9	2.06075E-9	27	67	0	2.10995E-8	1.35037E-8
27	68	0	8.13982E-8	5.20948E-8	27	69	0	1.48997E-7	9.53578E-8
27	70	0	1.32997E-7	8.51181E-8	27	71	0	1.28997E-7	8.25581E-8
27	72	0	6.86984E-8	4.3967E-8	27	73	0	1.56996E-8	1.00478E-8
27	74	0	2.38995E-9	1.52957E-9	27	75	0	3.17988E-10	2.03512E-10
27	76	0	2.07995E-11	1.33117E-11	27	77	0	4.03381E-12	2.58164E-12
27	78	0	1.49125E-14	9.54397E-15	27	79	0	1.84945E-15	1.18365E-15
28	66	0	1.61996E-10	1.03678E-10	28	67	0	2.81994E-9	1.80476E-9
28	68	0	3.67992E-8	2.35515E-8	28	69	0	1.61996E-7	1.03678E-7
28	70	0	4.65989E-7	2.98233E-7	28	71	0	1.10997E-6	7.10384E-7
28	72	0	2.08995E-6	1.33757E-6	28	73	0	1.33997E-6	8.57581E-7
28	74	0	8.02982E-7	5.13908E-7	28	75	0	3.25993E-7	2.08635E-7
