Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.96075E-14	1.25488E-14	23	67	0	1.06487E-15	6.81517E-16
24	66	0	3.72032E-10	2.38101E-10	24	67	0	1.4801E-11	9.47264E-12
24	68	0	5.0507E-13	3.23245E-13	24	69	0	2.22213E-14	1.42216E-14
25	66	0	1.69024E-7	1.08175E-7	25	67	0	2.46034E-8	1.57462E-8
25	68	0	2.07029E-9	1.32498E-9	25	69	0	1.38997E-10	8.89582E-11
25	70	0	4.74066E-12	3.03402E-12	25	71	0	1.4002E-13	8.96125E-14
25	72	0	4.84916E-15	3.10346E-15	26	66	0	1.36119E-5	8.71162E-6
26	67	0	4.54063E-6	2.90601E-6	26	68	0	1.36019E-6	8.70522E-7
26	69	0	2.26032E-7	1.4466E-7	26	70	0	2.92041E-8	1.86906E-8
26	71	0	2.1203E-9	1.35699E-9	26	72	0	9.2008E-11	5.88851E-11
26	73	0	2.48035E-12	1.58742E-12	26	74	0	4.71066E-14	3.01482E-14
27	66	0	3.38447E-5	2.16606E-5	27	67	0	3.5755E-5	2.28832E-5
27	68	0	2.32432E-5	1.48757E-5	27	69	0	1.34919E-5	8.63481E-6
27	70	0	4.18058E-6	2.67557E-6	27	71	0	1.09015E-6	6.97697E-7
27	72	0	1.21017E-7	7.74508E-8	27	73	0	1.25017E-8	8.00112E-9
27	74	0	6.04084E-10	3.86614E-10	27	75	0	2.75038E-11	1.76025E-11
27	76	0	4.97069E-13	3.18124E-13	28	66	0	2.18731E-5	1.39988E-5
28	67	0	4.63965E-5	2.96937E-5	28	68	0	9.16628E-5	5.86642E-5
28	69	0	1.11746E-4	7.15172E-5	28	70	0	1.14156E-4	7.30598E-5
28	71	0	6.60392E-5	4.22651E-5	28	72	0	2.68137E-5	1.71608E-5
28	73	0	6.69093E-6	4.2822E-6	28	74	0	1.21017E-6	7.74508E-7
28	75	0	1.38019E-7	8.83323E-8	28	76	0	9.85137E-9	6.30488E-9
28	77	0	3.74052E-10	2.39393E-10	28	78	0	9.98139E-12	6.38809E-12
28	79	0	3.86874E-13	2.47599E-13	29	66	0	4.59064E-7	2.93801E-7
29	67	0	3.20045E-6	2.04829E-6	29	68	0	3.97055E-6	2.54115E-6
29	68	1	9.27129E-6	5.93363E-6	29	69	0	5.07771E-5	3.24973E-5
29	70	0	2.65537E-5	1.69944E-5	29	70	1	7.96711E-5	5.09895E-5
29	71	0	1.88306E-4	1.20516E-4	29	72	0	1.67293E-4	1.07068E-4
29	73	0	1.4055E-4	8.99518E-5	29	74	0	5.87582E-5	3.76052E-5
29	75	0	2.42334E-5	1.55094E-5	29	76	0	4.36061E-6	2.79079E-6
29	77	0	6.4209E-7	4.10937E-7	29	78	0	4.45062E-8	2.8484E-8
29	79	0	2.41995E-9	1.54877E-9	29	80	0	6.82095E-11	4.36541E-11
29	81	0	1.49021E-12	9.53733E-13	29	82	0	1.57022E-14	1.00494E-14
30	66	0	1.76025E-9	1.12656E-9	30	67	0	2.9004E-8	1.85626E-8
30	68	0	4.17058E-7	2.66917E-7	30	69	0	6.92097E-7	4.42942E-7
30	69	1	2.95041E-6	1.88826E-6	30	70	0	2.52735E-5	1.61751E-5
30	71	0	1.75124E-5	1.1208E-5	30	71	1	7.46504E-5	4.77763E-5
30	72	0	2.61056E-4	1.67076E-4	30	73	0	4.50333E-4	2.88213E-4
30	74	0	5.98894E-4	3.83292E-4	30	75	0	5.38245E-4	3.44477E-4
30	76	0	3.41508E-4	2.18565E-4	30	77	0	1.21617E-4	7.78349E-5
30	78	0	3.17944E-5	2.03484E-5	30	79	0	4.52063E-6	2.8932E-6
30	80	0	4.9907E-7	3.19405E-7	30	81	0	2.76039E-8	1.76665E-8
30	82	0	1.16016E-9	7.42504E-10	30	83	0	2.65037E-11	1.69624E-11
30	84	0	4.75066E-13	3.04042E-13	31	66	0	1.53021E-13	9.79337E-14
31	67	0	9.39131E-12	6.01044E-12	31	68	0	3.27046E-10	2.09309E-10
31	69	0	1.06015E-8	6.78495E-9	31	70	0	1.76025E-7	1.12656E-7
31	71	0	2.20031E-6	1.4082E-6	31	72	1	7.146E-6	4.57344E-6
31	72	0	7.146E-6	4.57344E-6	31	73	0	8.00812E-5	5.1252E-5
31	74	1	1.1054E-4	7.07459E-5	31	74	0	1.1054E-4	7.07459E-5
31	75	0	6.16496E-4	3.94557E-4	31	76	0	8.29546E-4	5.30909E-4
31	77	0	9.81117E-4	6.27915E-4	31	78	0	5.86542E-4	3.75387E-4
31	79	0	3.09173E-4	1.97871E-4	31	80	0	8.39517E-5	5.37291E-5
31	81	0	1.72724E-5	1.10543E-5	31	82	0	1.87026E-6	1.19697E-6
31	83	0	1.63023E-7	1.04335E-7	31	84	0	7.24101E-9	4.63425E-9
31	85	0	3.11043E-10	1.99068E-10	31	86	0	6.21087E-12	3.97495E-12
32	68	0	4.05057E-14	2.59236E-14	32	69	0	3.33046E-12	2.1315E-12
32	70	0	2.10029E-10	1.34419E-10	32	71	0	3.16044E-9	2.02268E-9
32	71	1	3.16044E-9	2.02268E-9	32	72	0	1.55022E-7	9.92138E-8
32	73	0	1.66023E-6	1.06255E-6	32	73	1	3.89054E-7	2.48995E-7
32	74	0	1.95327E-5	1.25009E-5	32	75	0	1.54922E-5	9.91498E-6
32	75	1	1.03664E-4	6.63453E-5	32	76	0	5.23703E-4	3.3517E-4
32	77	0	0.00113331	7.25317E-4	32	77	1	1.69344E-4	1.0838E-4
32	78	0	0.00248123	0.00158798	32	79	1	0.00144477	9.24651E-4
32	79	0	0.00144477	9.24651E-4	32	80	0	0.00266984	0.0017087
32	81	0	0.0012537	8.02371E-4	32	82	0	4.9908E-4	3.19411E-4
32	83	0	1.05745E-4	6.76766E-5	32	84	0	1.71324E-5	1.09647E-5
32	85	0	1.85026E-6	1.18417E-6	32	86	0	1.38019E-7	8.83323E-8
32	87	0	5.41076E-9	3.46288E-9	32	88	0	1.80025E-10	1.15216E-10
32	89	0	7.75346E-12	4.96221E-12	33	71	0	6.23087E-13	3.98776E-13
33	72	0	3.96055E-11	2.53475E-11	33	73	0	1.98028E-9	1.26738E-9
33	74	0	1.39019E-8	8.89724E-9	33	74	1	3.24045E-8	2.07389E-8
33	75	0	1.02014E-6	6.52891E-7	33	76	0	1.07015E-5	6.84896E-6
33	77	0	9.22129E-5	5.90162E-5	33	78	0	3.85014E-4	2.46409E-4
33	79	0	0.00147418	9.43472E-4	33	80	0	0.00285551	0.00182753
33	81	0	0.00422233	0.00270229	33	82	0	0.00185125	0.0011848
33	82	1	0.00185125	0.0011848	33	83	0	0.00266197	0.00170366
33	84	1	4.88483E-4	3.12629E-4	33	84	0	4.88483E-4	3.12629E-4
33	85	0	3.83003E-4	2.45122E-4	33	86	0	6.81695E-5	4.36285E-5
33	87	0	9.82137E-6	6.28568E-6	33	88	0	8.00112E-7	5.12071E-7
33	89	0	4.8499E-8	3.10394E-8	33	90	0	3.56835E-10	2.28374E-10
33	91	0	2.46071E-11	1.57486E-11	33	92	0	6.4304E-13	4.11546E-13
34	73	0	1.61022E-13	1.03054E-13	34	73	1	3.78053E-14	2.41954E-14
34	74	0	1.79025E-11	1.14576E-11	34	75	0	9.92138E-10	6.34969E-10
34	76	0	4.00056E-8	2.56036E-8	34	77	0	1.12016E-7	7.169E-8
34	77	1	7.46104E-7	4.77507E-7	34	78	0	1.31218E-5	8.39797E-6
34	79	0	1.04425E-4	6.68317E-5	34	79	1	1.56022E-5	9.98539E-6
34	80	0	7.8547E-4	5.02701E-4	34	81	0	3.16454E-4	2.02531E-4
34	81	1	0.00211779	0.00135538	34	82	0	0.00679116	0.00434634
34	83	0	0.00814069	0.00521004	34	83	1	0.00190953	0.0012221
34	84	0	0.0114558	0.00366585	34	85	0	0.00494925	0.00316752
34	85	1	0.00494623	0.00316559	34	86	0	0.00593276	0.00379697
34	87	0	0.00196438	0.00125721	34	88	0	5.7209E-4	3.66138E-4
34	89	0	8.33616E-5	5.33514E-5	34	90	0	6.77059E-6	4.33318E-6
34	91	0	3.42023E-7	2.18895E-7	34	92	0	1.22011E-8	7.80868E-9
34	93	0	2.0143E-10	1.28915E-10	34	94	0	2.79039E-12	1.78585E-12
35	75	0	3.21045E-14	2.05469E-14	35	77	0	6.57092E-11	4.20539E-11
35	77	1	2.20031E-10	1.4082E-10	35	78	0	1.12016E-8	7.169E-9
35	79	0	9.22129E-8	5.90162E-8	35	79	1	3.09043E-7	1.97788E-7
35	80	0	1.61022E-6	1.03054E-6	35	80	1	4.82067E-6	3.08523E-6
35	81	0	6.96197E-5	4.45566E-5	35	82	0	3.09263E-4	1.97928E-4
35	82	1	1.32538E-4	8.48246E-5	35	83	0	0.00211022	0.00135054
35	84	0	0.00175784	0.00112501	35	84	1	0.00312628	0.00200082
35	85	0	0.013727	0.00439263	35	86	0	0.00792632	0.00507284
35	86	1	0.00792469	0.0050718	35	87	0	0.0166492	0.00532774
35	88	0	0.0105524	0.00337677	35	89	0	0.00525937	0.003366
35	90	0	0.0010215	6.53762E-4	35	91	0	1.91327E-4	1.22449E-4
35	92	0	1.65923E-5	1.06191E-5	35	93	0	1.25997E-6	8.06384E-7
35	94	0	3.68051E-8	2.35553E-8	35	95	0	4.74155E-10	3.03459E-10
35	96	0	1.89026E-11	1.20977E-11	35	97	0	7.02958E-13	4.49893E-13
36	78	0	1.51021E-12	9.66535E-13	36	79	1	7.25101E-11	4.64065E-11
36	79	0	7.25101E-11	4.64065E-11	36	80	0	9.08127E-9	5.81201E-9
36	81	0	2.11029E-7	1.35059E-7	36	81	1	3.15044E-8	2.01628E-8
36	82	0	5.79081E-6	3.70612E-6	36	83	0	5.25573E-5	3.36367E-5
36	83	1	1.23317E-5	7.8923E-6	36	84	0	5.0198E-4	3.21267E-4
36	85	0	0.00232728	0.00148946	36	85	1	5.53157E-4	3.54021E-4
36	86	0	0.0109896	0.00351667	36	87	0	0.0227321	0.00522838
36	88	0	0.0441579	0.00353263	36	89	0	0.0455922	0.00364738
36	90	0	0.0293577	0.00939446	36	91	0	0.0125045	0.00400144
36	92	0	0.00376781	0.0024114	36	93	0	6.93457E-4	4.43812E-4
36	94	0	7.58106E-5	4.85188E-5	36	95	0	6.59045E-6	4.21789E-6
36	96	0	3.64051E-7	2.32993E-7	36	97	0	9.77066E-9	6.25322E-9
36	98	0	2.02028E-10	1.29298E-10	36	99	0	1.0716E-11	6.85826E-12
36	100	0	1.59022E-14	1.01774E-14	37	81	0	2.91041E-11	1.86266E-11
37	83	0	7.61106E-8	4.87108E-8	37	84	0	1.4002E-6	8.96125E-7
37	85	0	2.93141E-5	1.8761E-5	37	86	1	1.24447E-4	7.96463E-5
37	86	0	1.24447E-4	7.96463E-5	37	87	0	0.00225019	0.00144012
37	88	0	0.00653211	0.00418055	37	89	0	0.0176875	0.00566
37	90	0	0.00543876	0.00348081	37	90	1	0.0231867	0.00741974
37	91	0	0.0382913	0.0122532	37	92	0	0.0240891	0.0077085
37	93	0	0.0149553	0.0047857	37	94	0	0.0037841	0.00242182
37	95	0	0.00115818	7.41236E-4	37	96	0	1.56702E-4	1.00289E-4
37	97	0	1.58622E-5	1.01518E-5	37	98	0	8.05112E-7	5.15272E-7
37	99	0	6.70303E-8	4.28994E-8	37	100	0	6.25087E-10	4.00056E-10
37	101	0	8.70603E-12	5.57186E-12	37	102	0	1.8606E-13	1.19078E-13
38	83	0	9.35131E-12	5.98484E-12	38	84	0	6.41089E-10	4.10297E-10
38	85	1	1.68023E-8	1.07535E-8	38	85	0	1.68023E-8	1.07535E-8
38	86	0	1.04015E-6	6.65693E-7	38	87	0	1.51121E-5	9.67175E-6
38	87	1	3.54049E-6	2.26592E-6	38	88	0	2.23161E-4	1.42823E-4
38	89	0	0.001047	6.70078E-4	38	90	0	0.00714779	0.00457458
38	91	0	0.0201044	0.00643341	38	92	0	0.0383065	0.00612904
38	93	0	0.048822	0.00537042	38	94	0	0.0394511	0.00631218
38	95	0	0.025716	0.00822911	38	96	0	0.0119631	0.0038282
38	97	0	0.00284782	0.0018226	38	98	0	5.15432E-4	3.29876E-4
38	99	0	5.58408E-5	3.57381E-5	38	100	0	3.75052E-6	2.40034E-6
38	101	0	1.21008E-7	7.74452E-8	38	102	0	3.53031E-9	2.2594E-9
39	85	0	1.29018E-12	8.25715E-13	39	87	0	6.57092E-9	4.20539E-9
39	88	0	1.90027E-7	1.21617E-7	39	89	0	6.12085E-7	3.91735E-7
39	89	1	2.61036E-6	1.67063E-6	39	90	1	2.62887E-5	1.68247E-5
39	90	0	2.62887E-5	1.68247E-5	39	91	1	2.59451E-4	1.66049E-4
39	91	0	2.59451E-4	1.66049E-4	39	92	0	0.00208386	0.00133367
39	93	1	0.00403844	0.0025846	39	93	0	0.00403844	0.0025846
39	94	0	0.0175411	0.00403446	39	95	0	0.0294601	0.00942723
39	96	0	0.00283816	0.00181642	39	96	1	0.0255433	0.00587496
39	97	1	0.0109336	0.00699753	39	97	0	0.0109336	0.00699753
39	98	0	0.00428991	0.00274554	39	98	1	0.00428987	0.00274552
39	99	0	0.00325719	0.0020846	39	100	0	5.21353E-4	3.33666E-4
39	101	0	6.24587E-5	3.99736E-5	39	102	0	4.40061E-6	2.81639E-6
39	103	0	5.23073E-13	3.34767E-13	39	105	0	6.59952E-17	4.22369E-17
39	106	0	4.95716E-19	3.17258E-19	39	107	0	5.60859E-13	3.5895E-13
39	108	0	1.22283E-15	7.82612E-16	40	87	0	2.36033E-13	1.51061E-13
40	88	0	2.57036E-11	1.64503E-11	40	89	0	1.07015E-9	6.84896E-10
40	90	1	3.32046E-8	2.1251E-8	40	90	0	3.32046E-8	2.1251E-8
40	91	0	1.62023E-6	1.03694E-6	40	92	0	2.52535E-5	1.61623E-5
40	93	0	2.23381E-4	1.42964E-4	40	94	0	0.00171613	0.00109832
40	95	0	0.00569421	0.0036443	40	96	0	0.0175029	0.00560093
40	97	0	0.0277176	0.00443481	40	98	0	0.033043	0.0105738
40	99	0	0.0263265	0.00842449	40	100	0	0.0138982	0.00444743
40	101	0	0.00377462	0.00241575	40	102	0	9.22319E-4	5.90284E-4
40	103	0	1.97027E-6	1.26098E-6	40	104	0	6.23087E-8	3.98776E-8
40	105	0	1.97027E-9	1.26098E-9	40	106	0	2.02028E-11	1.29298E-11
40	107	0	7.79558E-9	4.98917E-9	40	108	0	2.3202E-11	1.48493E-11
40	109	0	1.44838E-13	9.26962E-14	41	89	0	1.16016E-14	7.42504E-15
41	90	0	1.85026E-12	1.18417E-12	41	91	0	1.74024E-10	1.11376E-10
41	92	0	6.64093E-9	4.25019E-9	41	93	0	1.80025E-7	1.15216E-7
41	93	1	4.21059E-8	2.69478E-8	41	94	0	2.46034E-6	1.57462E-6
41	94	1	1.71024E-6	1.09455E-6	41	95	0	3.95955E-5	2.53411E-5
41	95	1	9.2913E-6	5.94643E-6	41	96	0	3.48579E-4	2.2309E-4
41	97	0	0.00151292	9.6827E-4	41	97	1	3.5488E-4	2.27123E-4
41	98	0	0.0034975	0.0022384	41	98	1	0.00116589	7.46171E-4
41	99	0	9.35051E-4	5.98432E-4	41	99	1	0.010753	0.00344097
41	100	0	0.00631861	0.00404391	41	100	1	0.00631861	0.00404391
41	101	0	0.0107626	0.00344402	41	102	1	0.00273858	0.00175269
41	102	0	0.00273858	0.00175269	41	103	0	0.00201898	0.00129215
41	104	1	1.12651E-4	7.20965E-5	41	104	0	1.12651E-4	7.20965E-5
41	105	0	4.9897E-5	3.19341E-5	41	106	0	2.8504E-6	1.82425E-6
41	107	0	2.92261E-6	1.87047E-6	41	108	0	2.73038E-8	1.74744E-8
41	109	0	9.05982E-10	5.79828E-10	41	110	0	2.00028E-11	1.28018E-11
41	111	0	5.6913E-13	3.64243E-13	41	112	0	3.91622E-14	2.50638E-14
41	113	0	1.07195E-14	6.86048E-15	42	92	0	2.69038E-13	1.72184E-13
42	93	1	1.15016E-11	7.36103E-12	42	93	0	1.15016E-11	7.36103E-12
42	94	0	1.66023E-9	1.06255E-9	42	95	0	4.74066E-8	3.03402E-8
42	96	0	1.27018E-6	8.12913E-7	42	97	0	1.64723E-5	1.05423E-5
42	98	0	1.4315E-4	9.1616E-5	42	99	0	8.17954E-4	5.23491E-4
42	100	0	0.00293412	0.00187784	42	101	0	0.00526755	0.00337123
42	102	0	0.0081612	0.00522317	42	103	0	0.00845343	0.00194429
42	104	0	0.00313904	0.00200898	42	105	0	0.00203488	0.00130233
42	106	0	6.87206E-4	4.39812E-4	42	107	0	8.83423E-5	5.65391E-5
42	108	0	5.42076E-6	3.46928E-6	42	109	0	6.04084E-7	3.86614E-7
42	110	0	5.61078E-8	3.5909E-8	42	111	0	7.91054E-9	5.06274E-9
42	112	0	7.43065E-10	4.75561E-10	42	113	0	1.48994E-10	9.53562E-11
42	114	0	1.04015E-12	6.65693E-13	42	115	0	5.34843E-14	3.423E-14
43	95	0	1.24017E-12	7.93711E-13	43	95	1	2.91041E-13	1.86266E-13
43	97	1	2.59036E-9	1.65783E-9	43	97	0	2.59036E-9	1.65783E-9
43	98	0	1.09015E-7	6.97697E-8	43	99	0	1.82025E-6	1.16496E-6
43	99	1	4.26059E-7	2.72678E-7	43	100	0	1.99228E-5	1.27506E-5
43	101	0	1.25838E-4	8.0536E-5	43	102	0	2.1256E-4	1.36038E-4
43	102	1	2.1256E-4	1.36038E-4	43	103	0	1.37159E-4	8.77819E-5
43	104	0	1.32639E-4	8.48886E-5	43	105	0	3.49219E-4	2.235E-4
43	106	0	3.08093E-4	1.9718E-4	43	107	0	1.33669E-4	8.55479E-5
43	108	0	3.06643E-5	1.96251E-5	43	109	0	1.56122E-5	9.99179E-6
43	110	0	3.75052E-6	2.40034E-6	43	111	0	1.51021E-6	9.66535E-7
43	112	0	3.11043E-7	1.99068E-7	43	113	0	5.58588E-8	3.57496E-8
43	114	0	3.68051E-9	2.35553E-9	43	115	0	3.34552E-10	2.14113E-10
43	116	0	2.67037E-12	1.70904E-12	43	117	0	3.59753E-14	2.30242E-14
44	97	0	1.66023E-13	1.06255E-13	44	98	0	1.31018E-11	8.38517E-12
44	99	0	6.85096E-10	4.38461E-10	44	100	0	2.31032E-8	1.47861E-8
