Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	9.71536E-18	6.21783E-18	23	67	0	9.82825E-19	6.29008E-19
24	66	0	4.79991E-13	3.07194E-13	24	67	0	3.5699E-14	2.28474E-14
24	69	0	8.36953E-17	5.3565E-17	25	66	0	1.93E-10	1.2352E-10
25	67	0	5.98E-11	3.8272E-11	25	68	0	1.04E-11	6.656E-12
25	69	0	1.33992E-12	8.57547E-13	25	70	0	1.19E-13	7.61601E-14
25	72	0	1.41682E-16	9.06767E-17	26	66	0	1.32E-8	8.44801E-9
26	67	0	9.53001E-9	6.0992E-9	26	68	0	6.65E-9	4.256E-9
26	69	0	2.11E-9	1.3504E-9	26	70	0	7.91001E-10	5.0624E-10
26	71	0	1.22E-10	7.80801E-11	26	72	0	6.99986E-12	4.47991E-12
26	73	0	2.57E-13	1.6448E-13	26	74	0	1.49E-14	9.53601E-15
26	75	0	1.17423E-15	7.51509E-16	27	66	0	1.87E-8	1.1968E-8
27	67	0	4.65E-8	2.976E-8	27	68	0	7.03001E-8	4.4992E-8
27	69	0	8.43001E-8	5.3952E-8	27	70	0	7.45001E-8	4.768E-8
27	71	0	4.66E-8	2.9824E-8	27	72	0	6.67E-9	4.2688E-9
27	73	0	1.03E-9	6.592E-10	27	74	0	1.58E-10	1.0112E-10
27	75	0	1.87988E-11	1.20313E-11	27	76	0	6.74E-13	4.3136E-13
27	77	0	2.37585E-14	1.52054E-14	28	66	0	7.06001E-9	4.5184E-9
28	67	0	3.58E-8	2.2912E-8	28	68	0	1.8E-7	1.152E-7
28	69	0	4.38E-7	2.8032E-7	28	70	0	1.35E-6	8.64001E-7
28	71	0	1.86E-6	1.1904E-6	28	72	0	1.02E-6	6.528E-7
28	73	0	3.79E-7	2.4256E-7	28	74	0	2.45E-7	1.568E-7
28	75	0	7.33001E-8	4.6912E-8	28	76	0	1.18E-8	7.55201E-9
28	77	0	8.62977E-10	5.52305E-10	28	78	0	2.87E-11	1.8368E-11
28	79	0	4.52204E-13	2.89411E-13	29	66	0	5.13E-11	3.2832E-11
29	67	0	9.92001E-10	6.3488E-10	29	68	0	2.96E-9	1.8944E-9
29	68	1	8.00001E-9	5.12E-9	29	69	0	9.25001E-8	5.92E-8
29	70	0	1.27E-7	8.12801E-8	29	70	1	4.5E-7	2.88E-7
29	71	0	2.65E-6	1.696E-6	29	72	0	2.98E-6	1.9072E-6
29	73	0	3.92E-6	2.5088E-6	29	74	0	5.85E-6	3.744E-6
29	75	0	6.82E-6	4.3648E-6	29	76	0	2.83E-6	1.8112E-6
29	77	0	9.09001E-7	5.8176E-7	29	78	0	8.41001E-8	5.3824E-8
29	79	0	7.23955E-9	4.63331E-9	29	80	0	2.65E-10	1.696E-10
29	81	0	9.61001E-12	6.1504E-12	29	82	0	1.43E-13	9.15201E-14
30	66	0	6.02E-14	3.8528E-14	30	67	0	2.9E-12	1.856E-12
30	68	0	1.3E-10	8.32001E-11	30	69	0	4.38E-10	2.8032E-10
30	69	1	2.14E-9	1.3696E-9	30	70	0	6.04E-8	3.8656E-8
30	71	0	1.02E-7	6.528E-8	30	71	1	4.96E-7	3.1744E-7
30	72	0	2.3E-6	1.472E-6	30	73	0	6.08E-6	3.8912E-6
30	74	0	3.117E-5	1.99488E-5	30	75	0	7.54801E-5	4.83072E-5
30	76	0	1.2003E-4	7.68193E-5	30	77	0	9.33501E-5	5.9744E-5
30	78	0	3.745E-5	2.3968E-5	30	79	0	8.43001E-6	5.3952E-6
30	80	0	1.37E-6	8.76801E-7	30	81	0	1.35E-7	8.64001E-8
30	82	0	9.47001E-9	6.0608E-9	30	83	0	2.89E-10	1.8496E-10
30	84	0	6.15E-12	3.936E-12	30	85	0	1.68015E-13	1.0753E-13
31	68	0	2.19E-14	1.4016E-14	31	69	0	1.82E-12	1.1648E-12
31	70	0	1.05E-10	6.72E-11	31	71	0	4.17E-9	2.6688E-9
