Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.78916E-18	1.14506E-18	24	66	0	5.44982E-14	3.48789E-14
25	66	0	2.23E-11	1.4272E-11	25	67	0	6.36E-12	4.0704E-12
25	68	0	3.03E-12	1.9392E-12	25	70	0	9.76E-14	6.2464E-14
25	72	0	1.58234E-16	1.0127E-16	25	73	0	1.81496E-17	1.16157E-17
26	66	0	5.56E-10	3.5584E-10	26	67	0	4.47E-10	2.8608E-10
26	68	0	6.21E-10	3.9744E-10	26	69	0	4.21E-12	2.6944E-12
26	70	0	1.83E-10	1.1712E-10	26	71	0	3.75E-11	2.4E-11
26	72	0	4.81984E-12	3.0847E-12	26	73	0	4.04982E-13	2.59188E-13
26	74	0	1.62E-14	1.0368E-14	26	75	0	1.27454E-15	8.15709E-16
27	66	0	1.1E-9	7.04E-10	27	67	0	2.25E-9	1.44E-9
27	68	0	8.21E-9	5.2544E-9	27	69	0	1.53E-10	9.792E-11
27	70	0	1.9E-8	1.216E-8	27	71	0	1.15E-8	7.36E-9
27	72	0	4.46E-9	2.8544E-9	27	73	0	1.15E-9	7.36E-10
27	74	0	1.43E-10	9.152E-11	27	75	0	1.27987E-11	8.19118E-12
27	76	0	1.71E-12	1.0944E-12	27	77	0	3.38792E-14	2.16827E-14
27	78	0	2.22578E-15	1.4245E-15	28	66	0	1.9E-10	1.216E-10
28	67	0	9.95E-10	6.368E-10	28	68	0	9.09E-9	5.8176E-9
28	69	0	4.25E-10	2.72E-10	28	70	0	1.36E-7	8.704E-8
28	71	0	2.2E-7	1.408E-7	28	72	0	2.38E-7	1.5232E-7
28	73	0	1.78E-7	1.1392E-7	28	74	0	6.57E-8	4.2048E-8
28	75	0	1.79E-8	1.1456E-8	28	76	0	7.37E-9	4.7168E-9
28	77	0	7.55966E-10	4.83818E-10	28	78	0	6.77978E-11	4.33906E-11
28	79	0	2.54909E-12	1.63142E-12	28	80	0	1.24E-13	7.936E-14
29	66	0	2.32E-12	1.4848E-12	29	67	0	3.44E-11	2.2016E-11
29	68	0	2.31E-10	1.4784E-10	29	68	1	6.25E-10	4.0E-10
29	69	0	1.04E-10	6.656E-11	29	70	0	1.86E-8	1.1904E-8
29	70	1	6.59E-8	4.2176E-8	29	71	0	3.41E-7	2.1824E-7
29	72	0	9.31E-7	5.9584E-7	29	73	0	1.81E-6	1.1584E-6
29	74	0	1.82E-6	1.1648E-6	29	75	0	1.41E-6	9.024E-7
29	76	0	1.7E-6	1.088E-6	29	77	0	5.22E-7	3.3408E-7
29	78	0	1.43E-7	9.152E-8	29	79	0	2.55975E-8	1.63824E-8
29	80	0	2.53E-9	1.6192E-9	29	81	0	1.33E-10	8.512E-11
29	82	0	2.99E-12	1.9136E-12	29	83	0	6.00505E-14	3.84323E-14
30	67	0	7.15E-14	4.576E-14	30	68	0	5.31E-12	3.3984E-12
30	69	0	3.19E-13	2.0416E-13	30	69	1	1.56E-12	9.984E-13
30	70	0	4.25E-9	2.72E-9	30	71	0	7.81E-9	4.9984E-9
30	71	1	3.81E-8	2.4384E-8	30	72	0	3.23E-7	2.0672E-7
30	73	0	1.58E-6	1.0112E-6	30	74	0	3.97E-6	2.5408E-6
30	75	0	7.8E-6	4.992E-6	30	76	0	2.489E-5	1.59296E-5
30	77	0	2.117E-5	1.35488E-5	30	78	0	1.665E-5	1.0656E-5
30	79	0	8.8E-6	5.632E-6	30	80	0	2.63E-6	1.6832E-6
30	81	0	4.66E-7	2.9824E-7	30	82	0	3.56E-8	2.2784E-8
