Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
24	69	0	3.55711E-18	2.27655E-18	25	66	0	5.05E-12	3.232E-12
25	67	0	1.25E-12	8.0E-13	25	68	0	4.96E-13	3.1744E-13
25	69	0	1.12996E-13	7.23177E-14	25	72	0	1.04732E-17	6.70284E-18
25	73	0	7.88123E-19	5.04399E-19	26	66	0	1.66E-10	1.0624E-10
26	67	0	1.01E-10	6.464E-11	26	68	0	1.66E-10	1.0624E-10
26	69	0	9.96E-11	6.3744E-11	26	70	0	3.7E-11	2.368E-11
26	71	0	5.57E-12	3.5648E-12	26	72	0	4.9699E-13	3.18073E-13
26	73	0	3.73992E-14	2.39355E-14	26	75	0	7.08274E-17	4.53295E-17
27	66	0	2.75E-10	1.76E-10	27	67	0	5.8E-10	3.712E-10
27	68	0	2.14E-9	1.3696E-9	27	69	0	4.95E-9	3.168E-9
27	70	0	4.45E-9	2.848E-9	27	71	0	2.81E-9	1.7984E-9
27	72	0	6.9E-10	4.416E-10	27	73	0	2.2E-10	1.408E-10
27	74	0	3.28E-11	2.0992E-11	27	75	0	2.24993E-12	1.43995E-12
27	76	0	1.83E-13	1.1712E-13	27	77	0	3.49809E-15	2.23878E-15
27	78	0	3.20307E-16	2.04996E-16	28	66	0	4.17E-11	2.6688E-11
28	67	0	1.92E-10	1.2288E-10	28	68	0	2.42E-9	1.5488E-9
28	69	0	1.18E-8	7.552E-9	28	70	0	3.65E-8	2.336E-8
28	71	0	5.28E-8	3.3792E-8	28	72	0	5.23E-8	3.3472E-8
28	73	0	4.1E-8	2.624E-8	28	74	0	2.59E-8	1.6576E-8
28	75	0	4.76E-9	3.0464E-9	28	76	0	1.71E-9	1.0944E-9
28	77	0	1.65997E-10	1.06238E-10	28	78	0	1.51997E-11	9.7278E-12
28	79	0	2.44905E-13	1.56739E-13	28	81	0	8.6252E-16	5.52013E-16
29	66	0	2.65E-13	1.696E-13	29	67	0	4.92E-12	3.1488E-12
29	68	0	4.43E-11	2.8352E-11	29	68	1	1.03E-10	6.592E-11
29	69	0	2.62E-9	1.6768E-9	29	70	0	4.24E-9	2.7136E-9
29	70	1	1.27E-8	8.128E-9	29	71	0	8.34E-8	5.3376E-8
29	72	0	1.81E-7	1.1584E-7	29	73	0	4.94E-7	3.1616E-7
29	74	0	7.31E-7	4.6784E-7	29	75	0	5.36E-7	3.4304E-7
29	76	0	4.93E-7	3.1552E-7	29	77	0	2.05E-7	1.312E-7
29	78	0	5.24E-8	3.3536E-8	29	79	0	7.77976E-9	4.97904E-9
29	80	0	3.2E-10	2.048E-10	29	81	0	2.73991E-11	1.75354E-11
29	82	0	3.86E-13	2.4704E-13	29	83	0	9.10346E-15	5.82621E-15
30	68	0	5.64E-13	3.6096E-13	30	69	0	4.87E-12	3.1168E-12
30	69	1	2.08E-11	1.3312E-11	30	70	0	6.39E-10	4.0896E-10
30	71	0	1.39E-9	8.896E-10	30	71	1	5.94E-9	3.8016E-9
30	72	0	5.83E-8	3.7312E-8	30	73	0	3.3E-7	2.112E-7
30	74	0	1.66E-6	1.0624E-6	30	75	0	2.63E-6	1.6832E-6
30	76	0	8.84E-6	5.6576E-6	30	77	0	8.76E-6	5.6064E-6
30	78	0	9.36E-6	5.9904E-6	30	79	0	3.62E-6	2.3168E-6
30	80	0	6.64E-7	4.2496E-7	30	81	0	1.6E-7	1.024E-7
