Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	2.37992E-14	1.52315E-14	23	67	0	3.32786E-15	2.12983E-15
23	68	0	4.29596E-16	2.74941E-16	24	66	0	1.17977E-10	7.55051E-11
24	67	0	1.64967E-11	1.05579E-11	24	68	0	2.12958E-12	1.36293E-12
24	69	0	7.92635E-14	5.07286E-14	25	66	0	1.94001E-8	1.24161E-8
25	67	0	6.98003E-9	4.46722E-9	25	68	0	2.29001E-9	1.46561E-9
25	69	0	3.92922E-10	2.5147E-10	25	70	0	5.46002E-11	3.49441E-11
25	71	0	4.88002E-12	3.12321E-12	25	72	0	2.33958E-13	1.49733E-13
25	73	0	2.96482E-14	1.89748E-14	26	66	0	2.77001E-7	1.77281E-7
26	67	0	2.41001E-7	1.54241E-7	26	68	0	1.92001E-7	1.22881E-7
26	69	0	8.34004E-8	5.33762E-8	26	70	0	2.92001E-8	1.86881E-8
26	71	0	6.82003E-9	4.36482E-9	26	72	0	1.15977E-9	7.42253E-10
26	73	0	1.46971E-10	9.40614E-11	26	74	0	1.03E-11	6.59203E-12
26	75	0	5.92963E-13	3.79496E-13	26	76	0	2.23001E-14	1.42721E-14
27	66	0	4.16002E-7	2.66241E-7	27	67	0	8.18003E-7	5.23522E-7
27	68	0	1.46001E-6	9.34404E-7	27	69	0	1.51001E-6	9.664039E-7
27	70	0	1.26001E-6	8.06403E-7	27	71	0	7.33003E-7	4.69122E-7
27	72	0	3.09001E-7	1.97761E-7	27	73	0	1.02E-7	6.52803E-8
27	74	0	1.87001E-8	1.19681E-8	27	75	0	2.93942E-9	1.88123E-9
27	76	0	2.78001E-10	1.77921E-10	27	77	0	7.34145E-12	4.69853E-12
27	78	0	9.41884E-13	6.02806E-13	27	79	0	3.74329E-13	2.39571E-13
28	66	0	6.87003E-8	4.39682E-8	28	67	0	3.09001E-7	1.97761E-7
28	68	0	1.22001E-6	7.80803E-7	28	69	0	2.82001E-6	1.80481E-6
28	70	0	5.21002E-6	3.33441E-6	28	71	0	7.05003E-6	4.51202E-6
28	72	0	6.92003E-6	4.42882E-6	28	73	0	5.58002E-6	3.57122E-6
28	74	0	2.58001E-6	1.65121E-6	28	75	0	1.01E-6	6.46403E-7
28	76	0	2.49001E-7	1.59361E-7	28	77	0	3.63928E-8	2.32914E-8
28	78	0	4.66908E-9	2.98821E-9	28	79	0	1.85561E-9	1.18759E-9
28	80	0	2.50001E-11	1.60001E-11	28	81	0	1.62157E-12	1.03781E-12
28	82	0	1.28001E-14	8.19203E-15	29	66	0	9.57004E-10	6.12483E-10
29	67	0	1.17E-8	7.48803E-9	29	68	0	1.95001E-8	1.24801E-8
29	68	1	8.89004E-8	5.68962E-8	29	69	0	5.85002E-7	3.74402E-7
29	70	0	3.60002E-7	2.30401E-7	29	70	1	2.04001E-6	1.30561E-6
29	71	0	7.30003E-6	4.67202E-6	29	72	0	1.57501E-5	1.008E-5
29	73	0	2.89701E-5	1.85409E-5	29	74	0	3.13301E-5	2.00513E-5
29	75	0	2.88801E-5	1.84833E-5	29	76	0	1.75401E-5	1.12256E-5
29	77	0	6.63003E-6	4.24322E-6	29	78	0	2.25001E-6	1.44001E-6
29	79	0	6.78147E-7	4.34014E-7	29	80	0	8.98004E-8	5.74722E-8
29	81	0	8.03841E-9	5.14458E-9	29	82	0	3.75002E-10	2.40001E-10
29	83	0	1.61956E-11	1.03652E-11	29	84	0	1.06491E-12	6.81545E-13
30	66	0	1.16E-12	7.42403E-13	30	67	0	3.72002E-11	2.38081E-11
30	68	0	8.51004E-10	5.44642E-10	30	69	0	1.27001E-9	8.12803E-10
30	69	1	1.03E-8	6.59203E-9	30	70	0	1.13E-7	7.23203E-8
30	71	0	9.00004E-8	5.76002E-8	30	71	1	7.28003E-7	4.65922E-7
30	72	0	3.99002E-6	2.55361E-6	30	73	0	1.66501E-5	1.0656E-5
30	74	0	4.03702E-5	2.58369E-5	30	75	0	8.20003E-5	5.24802E-5
30	76	0	1.1423E-4	7.31075E-5	30	77	0	1.0417E-4	6.66691E-5
30	78	0	8.78504E-5	5.62242E-5	30	79	0	6.77803E-5	4.33794E-5
30	80	0	2.39901E-5	1.53537E-5	30	81	0	5.86002E-6	3.75042E-6
30	82	0	7.77003E-7	4.97282E-7	30	83	0	8.02841E-8	5.13819E-8
30	84	0	5.27896E-9	3.37853E-9	30	85	0	1.23231E-10	7.88681E-11
30	86	0	4.52002E-12	2.89281E-12	31	68	0	5.11002E-13	3.27041E-13
31	69	0	1.81001E-11	1.1584E-11	31	70	0	4.48002E-10	2.86721E-10
31	71	0	8.26004E-9	5.28642E-9	31	72	1	4.45502E-8	2.85121E-8
31	72	0	4.45502E-8	2.85121E-8	31	73	0	9.930041E-7	6.35523E-7
31	74	1	2.84501E-6	1.82081E-6	31	74	0	2.84501E-6	1.82081E-6
31	75	0	2.59901E-5	1.66337E-5	31	76	0	8.16803E-5	5.22754E-5
31	77	0	1.70681E-4	1.09236E-4	31	78	0	3.33071E-4	2.13166E-4
31	79	0	6.08413E-4	3.89384E-4	31	80	0	5.37852E-4	3.44225E-4
31	81	0	3.38311E-4	2.16519E-4	31	82	0	1.21661E-4	7.78627E-5
31	83	0	3.40301E-5	2.17793E-5	31	84	0	6.30003E-6	4.03202E-6
31	85	0	6.10879E-7	3.90963E-7	31	86	0	4.32002E-8	2.76481E-8
31	87	0	6.61537E-10	4.23384E-10	31	88	0	6.45402E-11	4.13057E-11
31	89	0	1.1918E-11	7.62751E-12	32	70	0	1.32001E-13	8.44804E-14
32	71	0	3.22001E-12	2.06081E-12	32	71	1	3.22001E-12	2.06081E-12
32	72	0	1.77001E-10	1.1328E-10	32	73	0	4.44002E-9	2.84161E-9
