Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
25	66	0	2.52004E-14	1.61283E-14	25	67	0	1.11002E-14	7.10411E-15
26	66	0	4.71007E-13	3.01445E-13	26	67	0	7.51012E-13	4.80648E-13
26	68	0	8.37013E-13	5.35688E-13	26	69	0	4.86008E-13	3.11045E-13
26	70	0	1.98003E-13	1.26722E-13	26	71	0	4.19007E-14	2.68164E-14
26	75	0	2.16387E-19	1.38487E-19	27	66	0	3.05005E-13	1.95203E-13
27	67	0	1.48002E-12	9.47215E-13	27	68	0	5.09008E-12	3.25765E-12
27	69	0	1.02002E-11	6.5281E-12	27	70	0	1.49002E-11	9.53615E-12
27	71	0	1.25002E-11	8.00013E-12	27	72	0	7.55012E-12	4.83208E-12
27	73	0	2.40004E-12	1.53602E-12	27	74	0	4.31007E-13	2.75844E-13
27	75	0	4.59005E-14	2.93763E-14	27	77	0	1.80515E-17	1.1553E-17
27	78	0	1.38577E-18	8.86892E-19	27	79	0	3.49231E-19	2.23508E-19
28	66	0	1.21002E-14	7.74412E-15	28	67	0	2.04003E-13	1.30562E-13
28	68	0	2.18003E-12	1.39522E-12	28	69	0	1.33002E-11	8.51213E-12
28	70	0	5.78009E-11	3.69926E-11	28	71	0	1.58003E-10	1.01122E-10
28	72	0	3.26005E-10	2.08643E-10	28	73	0	3.95006E-10	2.52804E-10
28	74	0	2.87005E-10	1.83683E-10	28	75	0	1.24002E-10	7.93613E-11
28	76	0	3.40005E-11	2.17603E-11	28	77	0	5.72007E-12	3.66085E-12
28	78	0	5.17007E-13	3.30884E-13	28	79	0	1.10663E-13	7.0824E-14
28	81	0	2.24872E-17	1.43918E-17	29	68	1	1.84003E-14	1.17762E-14
29	69	0	5.88009E-13	3.76326E-13	29	70	0	2.10003E-12	1.34402E-12
29	70	1	6.3001E-12	4.03206E-12	29	71	0	7.22011E-11	4.62087E-11
29	72	0	4.39007E-10	2.80964E-10	29	73	0	1.66003E-9	1.06242E-9
29	74	0	4.03006E-9	2.57924E-9	29	75	0	6.1001E-9	3.90406E-9
29	76	0	6.5201E-9	4.17287E-9	29	77	0	4.34007E-9	2.77764E-9
29	78	0	1.67003E-9	1.06882E-9	29	79	0	4.69897E-10	3.00734E-10
29	80	0	4.48007E-11	2.86725E-11	29	81	0	4.77005E-12	3.05283E-12
29	82	0	1.49002E-13	9.53615E-14	29	83	0	1.16767E-15	7.47308E-16
29	84	0	4.39586E-17	2.81335E-17	30	70	0	5.72009E-14	3.66086E-14
30	71	0	3.59006E-13	2.29764E-13	30	71	1	1.53002E-12	9.79216E-13
30	72	0	3.98006E-11	2.54724E-11	30	73	0	4.94008E-10	3.16165E-10
30	74	0	3.71006E-9	2.37444E-9	30	75	0	1.66003E-8	1.06242E-8
30	76	0	5.64009E-8	3.60966E-8	30	77	0	1.25002E-7	8.00013E-8
30	78	0	1.79003E-7	1.14562E-7	30	79	0	2.00003E-7	1.28002E-7
30	80	0	7.66012E-8	4.90248E-8	30	81	0	3.64006E-8	2.32964E-8
30	82	0	5.41009E-9	3.46245E-9	30	83	0	3.70005E-10	2.36803E-10
30	84	0	1.64002E-11	1.04961E-11	30	85	0	3.14444E-14	2.01244E-14
30	87	0	7.02976E-16	4.49904E-16	31	72	1	3.92006E-14	2.50884E-14
31	72	0	3.92006E-14	2.50884E-14	31	73	0	3.90006E-12	2.49604E-12
31	74	1	5.50009E-11	3.52006E-11	31	74	0	5.50009E-11	3.52006E-11
31	75	0	1.66003E-9	1.06242E-9	31	76	0	1.80003E-8	1.15202E-8
31	77	0	1.19002E-7	7.61612E-8	31	78	0	5.21008E-7	3.33445E-7
31	79	0	1.90003E-6	1.21602E-6	31	80	0	2.49004E-6	1.59363E-6
31	81	0	4.68007E-6	2.99525E-6	31	82	0	3.04005E-6	1.94563E-6
31	83	0	9.14014E-7	5.84969E-7	31	84	0	1.89003E-7	1.20962E-7
31	85	0	6.67007E-9	4.26885E-9	31	86	0	1.57002E-9	1.00482E-9
31	87	0	1.49117E-10	9.5435E-11	31	88	0	5.25359E-14	3.3623E-14
31	89	0	4.71091E-15	3.01498E-15	32	74	0	1.21002E-13	7.74412E-14
32	75	0	9.45015E-13	6.0481E-13	32	75	1	6.3201E-12	4.04486E-12
32	76	0	3.11005E-10	1.99043E-10	32	77	0	6.3001E-9	4.03206E-9
32	77	1	9.42015E-10	6.0289E-10	32	78	0	1.08002E-7	6.91211E-8
32	79	1	6.1501E-7	3.93606E-7	32	79	0	6.1501E-7	3.93606E-7
32	80	0	4.75008E-6	3.04005E-6	32	81	0	2.87705E-5	1.84131E-5
32	82	0	6.69411E-5	4.28423E-5	32	83	0	7.64612E-5	4.89352E-5
32	84	0	6.71511E-5	4.29767E-5	32	85	0	1.01802E-5	6.5153E-6
32	86	0	1.06902E-5	6.84171E-6	32	87	0	9.45866E-7	6.05354E-7
32	88	0	1.96003E-8	1.25442E-8	32	89	0	1.49277E-9	9.55371E-10
32	90	0	6.72316E-13	4.30282E-13	32	91	0	6.80459E-14	4.35494E-14
32	92	0	4.3101E-15	2.75846E-15	33	76	0	9.63015E-14	6.1633E-14
33	77	0	9.12014E-12	5.83689E-12	33	78	0	5.51009E-10	3.52646E-10
33	79	0	2.42004E-8	1.54882E-8	33	80	0	3.23005E-7	2.06723E-7
33	81	0	6.6101E-6	4.23047E-6	33	82	0	2.51204E-5	1.60771E-5
33	82	1	2.51204E-5	1.60771E-5	33	83	0	1.80463E-4	1.15496E-4
33	84	1	2.71474E-4	1.73744E-4	33	84	0	2.71474E-4	1.73744E-4
33	85	0	2.98335E-4	1.90934E-4	33	86	0	0.00123288	7.89043E-4
33	87	0	4.57307E-4	2.92677E-4	33	88	0	4.14907E-5	2.6554E-5
33	89	0	6.33861E-6	4.05671E-6	33	90	0	1.21128E-7	7.75216E-8
33	91	0	1.44341E-8	9.23782E-9	33	92	0	7.76527E-10	4.96977E-10
33	93	0	2.58372E-13	1.65358E-13	33	94	0	1.40721E-14	9.00615E-15
34	78	0	8.96014E-14	5.73449E-14	34	79	0	1.48002E-11	9.47215E-12
34	79	1	2.21004E-12	1.41442E-12	34	80	0	9.09014E-10	5.81769E-10
34	81	0	1.00002E-8	6.4001E-9	34	81	1	6.72011E-8	4.30087E-8
34	82	0	2.35004E-6	1.50402E-6	34	83	0	2.42704E-5	1.5533E-5
34	83	1	5.69009E-6	3.64166E-6	34	84	0	3.03355E-4	1.94147E-4
34	85	0	2.60954E-4	1.67011E-4	34	85	1	2.60954E-4	1.67011E-4
34	86	0	0.00664993	0.00299247	34	87	0	0.00883373	0.00565359
34	88	0	0.00301723	0.00193103	34	89	0	0.0018717	0.00119789
34	90	0	9.04613E-4	5.78952E-4	34	91	0	9.1557E-5	5.85965E-5
34	92	0	5.79932E-6	3.71156E-6	34	93	0	8.18715E-8	5.23977E-8
34	94	0	5.25007E-9	3.36004E-9	34	95	0	1.15882E-12	7.41648E-13
34	96	0	3.32005E-13	2.12483E-13	34	97	0	9.74951E-15	6.23969E-15
35	80	0	1.02002E-14	6.5281E-15	35	80	1	3.05005E-14	1.95203E-14
35	81	0	1.57002E-11	1.00482E-11	35	82	0	1.53002E-9	9.79216E-10
35	82	1	6.5701E-10	4.20487E-10	35	83	0	1.19002E-7	7.61612E-8
35	84	0	1.81003E-6	1.15842E-6	35	84	1	3.21005E-6	2.05443E-6
35	85	0	3.21505E-5	2.05763E-5	35	86	0	7.25001E-4	4.64001E-4
35	86	1	7.25001E-4	4.64001E-4	35	87	0	0.00589641	0.0037737
35	88	0	0.00631074	0.00201944	35	89	0	0.0128998	0.00412795
35	90	0	0.0223598	0.00715515	35	91	0	0.00882637	0.00282444
35	92	0	0.0022415	0.00143456	35	93	0	3.47644E-4	2.22492E-4
35	94	0	3.66906E-5	2.3482E-5	35	95	0	2.45813E-7	1.5732E-7
35	96	0	4.73007E-8	3.02725E-8	35	97	0	2.06809E-9	1.32358E-9
35	98	0	1.33484E-12	8.54298E-13	35	99	0	4.53796E-14	2.90429E-14
35	100	0	2.6804E-16	1.71546E-16	36	82	0	5.93009E-14	3.79526E-14
36	83	0	1.20002E-11	7.68012E-12	36	83	1	2.80004E-12	1.79203E-12
36	84	0	2.91005E-9	1.86243E-9	36	85	0	6.5701E-8	4.20487E-8
36	85	1	1.54002E-8	9.85616E-9	36	86	0	1.52102E-5	9.73455E-6
36	87	0	2.41184E-4	1.54358E-4	36	88	0	0.0149132	0.00477221
36	89	0	0.0211009	0.0067523	36	90	0	0.0334383	0.0107003
36	91	0	0.0422289	0.0135133	36	92	0	0.0355586	0.0113787
36	93	0	0.0198099	0.00633916	36	94	0	0.00808045	0.00517149
36	95	0	0.00155922	9.979E-4	36	96	0	1.87473E-4	1.19983E-4
36	97	0	1.31181E-5	8.39561E-6	36	98	0	4.98007E-7	3.18724E-7
36	99	0	1.43796E-8	9.20297E-9	36	100	0	1.00001E-10	6.40008E-11
36	101	0	1.82357E-13	1.16709E-13	36	102	0	1.23209E-14	7.8854E-15
37	84	0	2.50004E-14	1.60003E-14	37	85	0	3.22005E-12	2.06083E-12
37	86	1	1.37502E-9	8.80014E-10	37	86	0	1.37502E-9	8.80014E-10
37	87	0	1.93003E-7	1.23522E-7	37	88	0	3.17005E-6	2.02883E-6
37	89	0	8.65214E-5	5.53737E-5	37	90	0	3.35965E-4	2.15018E-4
37	90	1	0.00142954	9.14907E-4	37	91	0	0.00765082	0.00489653
37	92	0	0.0199007	0.00636823	37	93	0	0.0336442	0.0107661
37	94	0	0.0433551	0.0138736	37	95	0	0.0284893	0.00911659
37	96	0	0.0131129	0.00419614	37	97	0	0.00363305	0.00232515
37	98	0	5.95559E-4	3.81158E-4	37	99	0	6.1059E-5	3.90778E-5
37	100	0	2.54004E-6	1.62563E-6	37	101	0	3.86822E-8	2.47566E-8
37	102	0	2.2198E-9	1.42067E-9	37	103	0	3.86971E-13	2.47661E-13
37	104	0	2.2703E-14	1.45299E-14	37	105	0	1.25424E-15	8.02713E-16
38	86	0	1.37002E-14	8.76814E-15	38	87	0	3.62006E-12	2.31684E-12
38	87	1	8.50013E-13	5.44009E-13	38	88	0	3.37005E-10	2.15683E-10
38	89	0	4.14007E-8	2.64964E-8	38	90	0	3.70006E-6	2.36804E-6
38	91	0	6.70811E-5	4.29319E-5	38	92	0	6.64711E-4	4.25415E-4
38	93	0	0.00395422	0.0025307	38	94	0	0.0162747	0.00520791
38	95	0	0.0350375	0.011212	38	96	0	0.047748	0.0152794
38	97	0	0.0431201	0.0137984	38	98	0	0.0257518	0.00824057
38	99	0	0.00915147	0.00585694	38	100	0	0.00189274	0.00121135
38	101	0	2.45365E-4	1.57034E-4	38	102	0	1.6578E-5	1.06099E-5
38	103	0	1.22621E-7	7.84776E-8	38	104	0	8.47011E-9	5.42087E-9
38	105	0	3.97437E-10	2.54359E-10	39	89	0	6.5201E-14	4.17287E-14
39	89	1	2.78004E-13	1.77923E-13	39	90	1	5.45009E-11	3.48806E-11
39	90	0	5.45009E-11	3.48806E-11	39	91	1	4.90008E-9	3.13605E-9
39	91	0	4.90008E-9	3.13605E-9	39	92	0	4.24007E-7	2.71364E-7
39	93	1	5.24008E-6	3.35365E-6	39	93	0	5.24008E-6	3.35365E-6
39	94	0	1.72743E-4	1.10555E-4	39	95	0	0.00181355	0.00116067
39	96	0	6.5608E-4	4.19891E-4	39	96	1	0.00590357	0.00377829
39	97	1	0.00950786	0.00608503	39	97	0	0.00950786	0.00608503
39	98	0	0.0173319	0.00554622	39	98	1	0.0173261	0.00554435
39	99	0	0.0398342	0.0127469	39	100	0	0.029289	0.00937247
