Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	3.59683E-18	2.30197E-18	24	66	0	8.91852E-14	5.70779E-14
24	69	0	4.8496E-17	3.10374E-17	25	66	0	4.06096E-11	2.58519E-11
25	67	0	1.58082E-11	1.01106E-11	25	68	0	3.08969E-12	1.97734E-12
25	69	0	6.29866E-13	4.03114E-13	25	70	0	5.25929E-14	3.36594E-14
25	72	0	1.8347E-16	1.17421E-16	26	66	0	3.183134E-9	1.358545E-9
26	67	0	2.555715E-9	1.479336E-9	26	68	0	1.637707E-9	1.029883E-9
26	69	0	8.51859E-10	5.43922E-10	26	70	0	2.61042E-10	1.67017E-10
26	71	0	3.84955E-11	2.46367E-11	26	72	0	4.5492E-12	2.91148E-12
26	73	0	1.50979E-13	9.66267E-14	26	75	0	3.04832E-16	1.95093E-16
27	66	0	7.610217E-9	1.570608E-9	27	67	0	2.213427E-8	5.829232E-9
27	68	0	2.7655E-8	1.323345E-8	27	69	0	4.363755E-8	2.481222E-8
27	70	0	3.11376E-8	1.923336E-8	27	71	0	1.592185E-8	1.010987E-8
27	72	0	4.884434E-9	3.122778E-9	27	73	0	5.95964E-10	3.81388E-10
27	74	0	7.14905E-11	4.57537E-11	27	75	0	3.95916E-12	2.53386E-12
27	76	0	1.98972E-13	1.27343E-13	27	77	0	9.83735E-15	6.2959E-15
28	66	0	2.142091E-9	1.038015E-9	28	67	0	1.723168E-8	5.793813E-9
28	68	0	8.780432E-8	1.343868E-8	28	69	0	3.305077E-7	4.352551E-8
28	70	0	7.830798E-7	1.436645E-7	28	71	0	7.914522E-7	3.447593E-7
28	72	0	7.135692E-7	4.016321E-7	28	73	0	2.011691E-7	1.259551E-7
28	74	0	8.474199E-8	5.407143E-8	28	75	0	1.270265E-8	8.126889E-9
28	76	0	2.369753E-9	1.51659E-9	28	77	0	2.06963E-10	1.32455E-10
28	78	0	1.16984E-11	7.48698E-12	28	79	0	3.80271E-13	2.43373E-13
29	66	0	2.05593E-11	1.31182E-11	29	67	0	4.88209E-10	3.06415E-10
29	68	0	1.410632E-9	8.89237E-10	29	68	1	3.911811E-9	2.401279E-9
29	69	0	6.996436E-8	3.702215E-8	29	70	0	7.238315E-8	4.268904E-8
29	70	1	3.030971E-7	1.377459E-7	29	71	0	1.700493E-6	3.620171E-7
29	72	0	3.700029E-6	1.024489E-6	29	73	0	3.129391E-6	1.351179E-6
29	74	0	2.743717E-6	1.580762E-6	29	75	0	1.377592E-6	8.487117E-7
29	76	0	6.380881E-7	4.050076E-7	29	77	0	2.062376E-7	1.31822E-7
29	78	0	3.069836E-8	1.964537E-8	29	79	0	4.938981E-9	3.160923E-9
29	80	0	2.66963E-10	1.70857E-10	29	81	0	1.08985E-11	6.97505E-12
29	82	0	2.01972E-13	1.29263E-13	29	83	0	1.05502E-14	6.75213E-15
30	66	0	3.0696E-14	1.96454E-14	30	67	0	1.91989E-12	1.22863E-12
30	68	0	7.26469E-11	4.64576E-11	30	69	0	3.53293E-10	2.25889E-10
30	69	1	1.727852E-9	1.100617E-9	30	70	0	3.58639E-8	2.203474E-8
30	71	0	4.930727E-8	3.082229E-8	30	71	1	2.614435E-7	1.478633E-7
30	72	0	2.650813E-6	1.004259E-6	30	73	0	5.823697E-6	1.362075E-6
30	74	0	1.770194E-5	1.871977E-6	30	75	0	2.074661E-5	4.817735E-6
30	76	0	2.909744E-5	1.140317E-5	30	77	0	2.00901E-5	1.138515E-5
30	78	0	9.683962E-6	6.048534E-6	30	79	0	4.051418E-6	2.578646E-6
30	80	0	7.951464E-7	5.087302E-7	30	81	0	8.85901E-8	5.669624E-8
30	82	0	6.529125E-9	4.178633E-9	30	83	0	2.2196E-10	1.42054E-10
30	84	0	5.76921E-12	3.6923E-12	30	85	0	1.52416E-13	9.75463E-14
31	68	0	2.43967E-14	1.56138E-14	31	69	0	2.53968E-12	1.62538E-12
31	70	0	1.08999E-10	6.97506E-11	31	71	0	3.114218E-9	1.990116E-9
31	72	0	2.601712E-8	1.657322E-8	31	72	1	2.601712E-8	1.657322E-8
31	73	0	3.589065E-7	2.208242E-7	31	74	0	1.217936E-6	7.455203E-7
31	74	1	1.217936E-6	7.455203E-7	31	75	0	1.060887E-5	4.775953E-6
31	76	0	3.794158E-5	1.156762E-5	31	77	0	9.662834E-5	2.138824E-5
31	78	0	9.791987E-5	4.433669E-5	31	79	0	1.354475E-4	6.958973E-5
31	80	0	5.782391E-5	3.598184E-5	31	81	0	2.291706E-5	1.456074E-5
31	82	0	4.625215E-6	2.956379E-6	31	83	0	6.11986E-7	3.916264E-7
31	84	0	4.509396E-8	2.886005E-8	31	85	0	1.979575E-9	1.266929E-9
31	86	0	4.43939E-11	2.84121E-11	31	87	0	1.22135E-12	7.81665E-13
32	70	0	4.00945E-14	2.56605E-14	32	71	0	1.50979E-12	9.66267E-13
32	71	1	1.50979E-12	9.66267E-13	32	72	0	1.82981E-10	1.17104E-10
32	73	0	2.580364E-9	1.650975E-9	32	73	1	5.27958E-10	3.37874E-10
32	74	0	7.247393E-8	4.626492E-8	32	75	0	7.835329E-8	5.004064E-8
32	75	1	5.82757E-7	3.671067E-7	32	76	0	7.276851E-6	4.221371E-6
32	77	0	3.904384E-5	1.924098E-5	32	77	1	4.621082E-6	2.881371E-6
32	78	0	1.720418E-4	4.463209E-5	32	79	0	2.628331E-4	1.007614E-4
32	79	1	2.628331E-4	1.007614E-4	32	80	0	7.744403E-4	1.486781E-4
32	81	0	6.786267E-4	2.856356E-4	32	82	0	4.584001E-4	2.426795E-4
32	83	0	1.44758E-4	9.108749E-5	32	84	0	3.986149E-5	2.542099E-5
32	85	0	5.000057E-6	3.19956E-6	32	86	0	4.529358E-7	2.898804E-7
32	87	0	2.569525E-8	1.644496E-8	32	88	0	7.55897E-10	4.83773E-10
32	89	0	9.85316E-12	6.30602E-12	32	90	0	1.09778E-12	7.02577E-13
33	72	0	1.4498E-14	9.27873E-15	33	73	0	9.13875E-13	5.8488E-13
33	74	0	1.50979E-11	9.66268E-12	33	74	1	4.08945E-11	2.61724E-11
33	75	0	1.869842E-9	1.196639E-9	33	76	0	4.842296E-8	3.097181E-8
33	77	0	9.487944E-7	6.040349E-7	33	78	0	7.795322E-6	4.8893E-6
33	79	0	8.505804E-5	4.760458E-5	33	80	0	2.748502E-4	1.452012E-4
33	81	0	8.820342E-4	2.873239E-4	33	82	0	6.789114E-4	3.120465E-4
33	82	1	6.789114E-4	3.120465E-4	33	83	0	0.001531861	6.047027E-4
33	84	0	4.733889E-4	2.8292E-4	33	84	1	4.733713E-4	2.828924E-4
33	85	0	4.264799E-4	2.66301E-4	33	86	0	1.047508E-4	6.69436E-5
33	87	0	2.271981E-5	1.45258E-5	33	88	0	1.929674E-6	1.235034E-6
33	89	0	1.279725E-7	8.190257E-8	33	90	0	1.209755E-8	7.74246E-9
33	91	0	5.22758E-11	3.34565E-11	33	92	0	2.35487E-12	1.50712E-12
34	75	0	4.44939E-13	2.84761E-13	34	76	0	4.25943E-11	2.72603E-11
34	77	0	3.0096E-10	1.92614E-10	34	77	1	2.209724E-9	1.414213E-9
34	78	0	6.450178E-8	4.127438E-8	34	79	0	1.46294E-6	9.342629E-7
34	79	1	1.980313E-7	1.267029E-7	34	80	0	1.777435E-5	1.126477E-5
34	81	0	1.442854E-5	9.181613E-6	34	81	1	1.095904E-4	6.691543E-5
34	82	0	7.653569E-4	3.284028E-4	34	83	0	0.001625524	6.053653E-4
34	83	1	2.849474E-4	1.726329E-4	34	84	0	0.004138355	4.557372E-4
34	85	0	0.002095698	9.952155E-4	34	85	1	0.002090259	9.940047E-4
34	86	0	0.003714927	0.001308484	34	87	0	0.002108907	9.367781E-4
34	88	0	5.763693E-4	3.689554E-4	34	89	0	1.082608E-4	6.912043E-5
34	90	0	1.489019E-5	9.533348E-6	34	91	0	1.099733E-6	7.038702E-7
34	92	0	5.838939E-8	3.736938E-8	34	93	0	3.77961E-10	2.41895E-10
34	94	0	2.45967E-11	1.57418E-11	34	95	0	2.26959E-12	1.45254E-12
