Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	5.29855E-19	3.39107E-19	24	66	0	2.50995E-14	1.60637E-14
24	69	0	6.25578E-18	4.0037E-18	25	66	0	1.04E-11	6.656E-12
25	67	0	2.68E-12	1.7152E-12	25	68	0	5.59E-13	3.5776E-13
25	69	0	9.76938E-14	6.2524E-14	25	72	0	2.06242E-17	1.31995E-17
25	73	0	1.729E-18	1.10656E-18	26	66	0	5.34E-10	3.4176E-10
26	67	0	3.46E-10	2.2144E-10	26	68	0	2.64E-10	1.6896E-10
26	69	0	1.24E-10	7.936E-11	26	70	0	4.72E-11	3.0208E-11
26	71	0	5.63E-12	3.6032E-12	26	72	0	9.76979E-13	6.25267E-13
26	73	0	5.99983E-14	3.83989E-14	26	75	0	1.74803E-16	1.11874E-16
27	66	0	8.15E-10	5.216E-10	27	67	0	1.65E-9	1.056E-9
27	68	0	2.95E-9	1.888E-9	27	69	0	4.74E-9	3.0336E-9
27	70	0	4.63E-9	2.9632E-9	27	71	0	2.03E-9	1.2992E-9
27	72	0	9.28E-10	5.9392E-10	27	73	0	2.18E-10	1.3952E-10
27	74	0	2.18E-11	1.3952E-11	27	75	0	2.72983E-12	1.74709E-12
27	76	0	1.22E-13	7.808E-14	27	77	0	6.05151E-15	3.87297E-15
27	78	0	4.20084E-16	2.68854E-16	28	66	0	2.36E-10	1.5104E-10
28	67	0	1.07E-9	6.848E-10	28	68	0	5.79E-9	3.7056E-9
28	69	0	2.05E-8	1.312E-8	28	70	0	6.36E-8	4.0704E-8
28	71	0	6.66E-8	4.2624E-8	28	72	0	1.03E-7	6.592E-8
28	73	0	6.27E-8	4.0128E-8	28	74	0	2.32E-8	1.4848E-8
28	75	0	7.96E-9	5.0944E-9	28	76	0	1.37E-9	8.768E-10
28	77	0	2.09994E-10	1.34396E-10	28	78	0	1.98996E-11	1.27357E-11
28	79	0	1.85688E-13	1.18841E-13	28	80	0	1.05E-14	6.72E-15
29	66	0	1.84E-12	1.1776E-12	29	67	0	2.91E-11	1.8624E-11
29	68	0	1.14E-10	7.296E-11	29	68	1	2.66E-10	1.7024E-10
29	69	0	4.28E-9	2.7392E-9	29	70	0	7.32E-9	4.6848E-9
29	70	1	2.2E-8	1.408E-8	29	71	0	9.33E-8	5.9712E-8
29	72	0	3.12E-7	1.9968E-7	29	73	0	6.13E-7	3.9232E-7
29	74	0	5.52E-7	3.5328E-7	29	75	0	6.66E-7	4.2624E-7
29	76	0	3.02E-7	1.9328E-7	29	77	0	1.73E-7	1.1072E-7
29	78	0	4.5E-8	2.88E-8	29	79	0	2.89981E-9	1.85588E-9
29	80	0	2.59E-10	1.6576E-10	29	81	0	2.27E-11	1.4528E-11
29	82	0	3.99E-13	2.5536E-13	29	83	0	1.69442E-14	1.08443E-14
30	67	0	7.14E-14	4.5696E-14	30	68	0	3.43E-12	2.1952E-12
30	69	0	1.89E-11	1.2096E-11	30	69	1	8.08E-11	5.1712E-11
30	70	0	2.35E-9	1.504E-9	30	71	0	3.35E-9	2.144E-9
30	71	1	1.43E-8	9.152E-9	30	72	0	1.8E-7	1.152E-7
30	73	0	7.77E-7	4.9728E-7	30	74	0	2.13E-6	1.3632E-6
30	75	0	5.8E-6	3.712E-6	30	76	0	8.61E-6	5.5104E-6
30	77	0	1.214E-5	7.7696E-6	30	78	0	1.131E-5	7.2384E-6
30	79	0	1.93E-6	1.2352E-6	30	80	0	6.52E-7	4.1728E-7
30	81	0	1.58E-7	1.0112E-7	30	82	0	1.08E-8	6.912E-9
30	83	0	5.87983E-10	3.76309E-10	30	84	0	1.88E-11	1.2032E-11
30	85	0	3.41282E-13	2.18421E-13	31	69	0	6.96E-14	4.4544E-14
31	70	0	4.42E-12	2.8288E-12	31	71	0	1.21E-10	7.744E-11
31	72	1	1.53E-9	9.792E-10	31	72	0	1.53E-9	9.792E-10
31	73	0	4.46E-8	2.8544E-8	31	74	1	1.42E-7	9.088E-8
31	74	0	1.42E-7	9.088E-8	31	75	0	2.39E-6	1.5296E-6
