Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.53605E-13	9.83075E-14	23	67	0	2.67949E-14	1.71487E-14
24	66	0	2.22846E-10	1.42622E-10	24	67	0	3.88732E-11	2.48788E-11
24	68	0	3.66E-12	2.3424E-12	24	69	0	3.61627E-13	2.31441E-13
24	70	0	1.32E-14	8.448E-15	25	66	0	3.63E-8	2.3232E-8
25	67	0	1.45E-8	9.28E-9	25	68	0	3.17E-9	2.0288E-9
25	69	0	5.24638E-10	3.35769E-10	25	70	0	6.26E-11	4.0064E-11
25	71	0	4.56E-12	2.9184E-12	25	72	0	5.99268E-13	3.83532E-13
26	66	0	7.08E-7	4.5312E-7	26	67	0	6.25E-7	4.0E-7
26	68	0	3.07E-7	1.9648E-7	26	69	0	1.16E-7	7.424E-8
26	70	0	3.18E-8	2.0352E-8	26	71	0	5.52E-9	3.5328E-9
26	72	0	8.69401E-10	5.56416E-10	26	73	0	8.6E-11	5.504E-11
26	74	0	6.21E-12	3.9744E-12	26	75	0	7.0259E-13	4.49658E-13
27	66	0	1.88E-6	1.2032E-6	27	67	0	3.49E-6	2.2336E-6
27	68	0	3.66E-6	2.3424E-6	27	69	0	3.02E-6	1.9328E-6
27	70	0	1.84E-6	1.1776E-6	27	71	0	7.38E-7	4.7232E-7
27	72	0	2.67E-7	1.7088E-7	27	73	0	6.1E-8	3.904E-8
27	74	0	1.03E-8	6.592E-9	27	75	0	1.0193E-9	6.5235E-10
27	76	0	8.25E-11	5.28E-11	27	77	0	7.92136E-12	5.06967E-12
28	66	0	7.28E-7	4.6592E-7	28	67	0	2.81E-6	1.7984E-6
28	68	0	6.12E-6	3.9168E-6	28	69	0	1.051E-5	6.7264E-6
28	70	0	1.359E-5	8.6976E-6	28	71	0	1.196E-5	7.6544E-6
28	72	0	9.5E-6	6.08E-6	28	73	0	4.86E-6	3.1104E-6
28	74	0	1.86E-6	1.1904E-6	28	75	0	4.24E-7	2.7136E-7
28	76	0	7.98E-8	5.1072E-8	28	77	0	1.14921E-8	7.35493E-9
28	78	0	9.72E-10	6.2208E-10	28	79	0	6.17177E-11	3.94993E-11
28	80	0	3.67E-12	2.3488E-12	29	66	0	3.85E-8	2.464E-8
29	67	0	3.21E-7	2.0544E-7	29	68	0	2.67E-7	1.7088E-7
29	68	1	1.22E-6	7.808E-7	29	69	0	5.34E-6	3.4176E-6
29	70	0	2.15E-6	1.376E-6	29	70	1	1.217E-5	7.7888E-6
29	71	0	2.666E-5	1.70624E-5	29	72	0	4.439E-5	2.84096E-5
29	73	0	4.842E-5	3.09888E-5	29	74	0	4.026E-5	2.57664E-5
29	75	0	2.032E-5	1.30048E-5	29	76	0	8.6E-6	5.504E-6
29	77	0	2.82E-6	1.8048E-6	29	78	0	5.64E-7	3.6096E-7
29	79	0	8.95383E-8	5.73045E-8	29	80	0	1.19E-8	7.616E-9
29	81	0	9.21E-10	5.8944E-10	29	82	0	4.74E-11	3.0336E-11
30	66	0	2.44E-10	1.5616E-10	30	67	0	4.63E-9	2.9632E-9
30	68	0	4.77E-8	3.0528E-8	30	69	0	4.14E-8	2.6496E-8
30	69	1	3.35E-7	2.144E-7	30	70	0	2.17E-6	1.3888E-6
30	71	0	9.55E-7	6.112E-7	30	71	1	7.72E-6	4.9408E-6
30	72	0	3.01E-5	1.9264E-5	30	73	0	6.802E-5	4.35328E-5
30	74	0	1.1771E-4	7.53344E-5	30	75	0	1.2518E-4	8.01152E-5
30	76	0	1.137E-4	7.2768E-5	30	77	0	8.155E-5	5.2192E-5
30	78	0	3.713E-5	2.37632E-5	30	79	0	1.336E-5	8.5504E-6
30	80	0	4.16E-6	2.6624E-6	30	81	0	7.63E-7	4.8832E-7
30	82	0	9.61E-8	6.1504E-8	30	83	0	7.84E-9	5.0176E-9
30	84	0	3.52E-10	2.2528E-10	30	85	0	3.017E-11	1.93088E-11
30	86	0	2.39E-13	1.5296E-13	31	66	0	1.71E-13	1.0944E-13
31	67	0	7.53E-12	4.8192E-12	31	68	0	1.79E-10	1.1456E-10
31	69	0	3.23E-9	2.0672E-9	31	70	0	4.2E-8	2.688E-8
31	71	0	3.81E-7	2.4384E-7	31	72	1	1.435E-6	9.184E-7
31	72	0	1.435E-6	9.184E-7	31	73	0	1.385E-5	8.864E-6
31	74	1	2.5135E-5	1.60864E-5	31	74	0	2.5135E-5	1.60864E-5
31	75	0	1.11E-4	7.104E-5	31	76	0	2.0902E-4	1.33773E-4
31	77	0	3.1324E-4	2.00474E-4	31	78	0	3.0853E-4	1.97459E-4
31	79	0	2.3997E-4	1.53581E-4	31	80	0	1.6816E-4	1.07622E-4
31	81	0	7.067E-5	4.52288E-5	31	82	0	2.119E-5	1.35616E-5
31	83	0	4.17E-6	2.6688E-6	31	84	0	4.76E-7	3.0464E-7
31	85	0	4.37698E-8	2.80127E-8	31	86	0	2.14E-9	1.3696E-9
31	87	0	1.19165E-10	7.62655E-11	32	68	0	7.32E-14	4.6848E-14
32	69	0	3.09E-12	1.9776E-12	32	70	0	9.32E-11	5.9648E-11
32	71	0	9.94E-10	6.3616E-10	32	71	1	9.94E-10	6.3616E-10
32	72	0	3.41E-8	2.1824E-8	32	73	0	3.28E-7	2.0992E-7
32	73	1	4.05E-8	2.592E-8	32	74	0	2.94E-6	1.8816E-6
32	75	0	1.12E-6	7.168E-7	32	75	1	1.291E-5	8.2624E-6
32	76	0	5.599E-5	3.58336E-5	32	77	0	1.6296E-4	1.04294E-4
32	77	1	1.227E-5	7.8528E-6	32	78	0	3.647E-4	2.33408E-4
32	79	1	2.9463E-4	1.88563E-4	32	79	0	2.9463E-4	1.88563E-4
32	80	0	8.8443E-4	5.66035E-4	32	81	0	8.1049E-4	5.18714E-4
32	82	0	5.5202E-4	3.53293E-4	32	83	0	2.5188E-4	1.61203E-4
32	84	0	7.093E-5	4.53952E-5	32	85	0	1.634E-5	1.04576E-5
32	86	0	2.03E-6	1.2992E-6	32	87	0	1.72881E-7	1.10644E-7
32	88	0	9.6E-9	6.144E-9	32	89	0	4.86303E-10	3.11234E-10
32	90	0	9.24272E-11	5.91534E-11	33	71	0	1.13E-12	7.232E-13
33	72	0	4.54E-11	2.9056E-11	33	73	0	1.14E-9	7.296E-10
33	74	0	3.75E-9	2.4E-9	33	74	1	1.71E-8	1.0944E-8
33	75	0	2.25E-7	1.44E-7	33	76	0	2.0E-6	1.28E-6
33	77	0	1.365E-5	8.736E-6	33	78	0	6.214E-5	3.97696E-5
33	79	0	2.1139E-4	1.3529E-4	33	80	0	6.7275E-4	4.3056E-4
33	81	0	0.00130178	8.33139E-4	33	82	0	9.6146E-4	6.15334E-4
33	82	1	9.6146E-4	6.15334E-4	33	83	0	0.00193091	0.00123578
33	84	1	6.36615E-4	4.07434E-4	33	84	0	6.36615E-4	4.07434E-4
33	85	0	7.0349E-4	4.50234E-4	33	86	0	2.1378E-4	1.36819E-4
33	87	0	4.534E-5	2.90176E-5	33	88	0	6.37E-6	4.0768E-6
33	89	0	7.05514E-7	4.51529E-7	33	90	0	1.34091E-7	8.58181E-8
33	91	0	1.70826E-9	1.09329E-9	33	92	0	1.15721E-10	7.40613E-11
34	73	0	3.37E-13	2.1568E-13	34	73	1	4.16E-14	2.6624E-14
