Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	6.93654E-19	4.43939E-19	24	66	0	1.71993E-14	1.10076E-14
24	69	0	3.54917E-18	2.27147E-18	25	66	0	1.99E-11	1.2736E-11
25	67	0	3.87E-12	2.4768E-12	25	68	0	7.50001E-13	4.80001E-13
25	69	0	4.60965E-14	2.95018E-14	25	72	0	7.38016E-18	4.7233E-18
26	66	0	1.27E-9	8.12801E-10	26	67	0	7.28001E-10	4.65921E-10
26	68	0	4.27E-10	2.7328E-10	26	69	0	8.34001E-11	5.33761E-11
26	70	0	1.52E-11	9.72801E-12	26	71	0	1.3E-12	8.32001E-13
26	72	0	1.82993E-13	1.17115E-13	26	73	0	1.06E-14	6.78401E-15
27	66	0	5.74001E-9	3.6736E-9	27	67	0	8.69001E-9	5.56161E-9
27	68	0	1.41E-8	9.02401E-9	27	69	0	8.14001E-9	5.20961E-9
27	70	0	4.43E-9	2.8352E-9	27	71	0	1.15E-9	7.36001E-10
27	72	0	5.04001E-10	3.2256E-10	27	73	0	9.16001E-11	5.86241E-11
27	74	0	8.19001E-12	5.24161E-12	27	75	0	4.31E-13	2.7584E-13
27	76	0	2.18E-14	1.3952E-14	27	77	0	1.30232E-15	8.33485E-16
28	66	0	2.24E-9	1.4336E-9	28	67	0	8.57001E-9	5.48481E-9
28	68	0	3.5E-8	2.24E-8	28	69	0	5.36001E-8	3.4304E-8
28	70	0	7.85001E-8	5.02401E-8	28	71	0	5.75001E-8	3.68E-8
28	72	0	7.33001E-8	4.69121E-8	28	73	0	4.0E-8	2.56E-8
28	74	0	1.1E-8	7.04001E-9	28	75	0	1.86E-9	1.1904E-9
28	76	0	2.98E-10	1.9072E-10	28	77	0	2.73987E-11	1.75352E-11
28	78	0	1.44E-12	9.21601E-13	28	79	0	6.84427E-14	4.38033E-14
29	66	0	6.60001E-11	4.224E-11	29	67	0	6.97001E-10	4.4608E-10
29	68	0	2.03E-9	1.2992E-9	29	68	1	5.50001E-9	3.52E-9
29	69	0	3.03E-8	1.9392E-8	29	70	0	2.45E-8	1.568E-8
29	70	1	8.68001E-8	5.55521E-8	29	71	0	2.07E-7	1.3248E-7
29	72	0	6.92001E-7	4.4288E-7	29	73	0	1.03E-6	6.59201E-7
29	74	0	8.10001E-7	5.18401E-7	29	75	0	4.16E-7	2.6624E-7
29	76	0	2.02E-7	1.2928E-7	29	77	0	5.75001E-8	3.68E-8
29	78	0	9.45001E-9	6.04801E-9	29	79	0	8.88933E-10	5.68917E-10
29	80	0	5.20001E-11	3.328E-11	29	81	0	1.53E-12	9.79201E-13
29	82	0	3.38E-14	2.1632E-14	30	66	0	1.12E-13	7.16801E-14
30	67	0	3.58E-12	2.2912E-12	30	68	0	1.14E-10	7.29601E-11
30	69	0	2.27E-10	1.4528E-10	30	69	1	1.11E-9	7.10401E-10
30	70	0	1.34E-8	8.57601E-9	30	71	0	1.1E-8	7.04001E-9
30	71	1	5.39001E-8	3.4496E-8	30	72	0	5.49001E-7	3.5136E-7
30	73	0	2.06E-6	1.3184E-6	30	74	0	4.14E-6	2.6496E-6
30	75	0	5.81001E-6	3.7184E-6	30	76	0	7.85001E-6	5.02401E-6
30	77	0	6.46001E-6	4.1344E-6	30	78	0	3.18E-6	2.0352E-6
30	79	0	9.13001E-7	5.84321E-7	30	80	0	1.66E-7	1.0624E-7
30	81	0	1.58E-8	1.0112E-8	30	82	0	1.11E-9	7.10401E-10
30	83	0	4.58001E-11	2.9312E-11	30	84	0	1.06E-12	6.78401E-13
30	85	0	5.9974E-14	3.83833E-14	31	68	0	9.53001E-14	6.09921E-14
31	69	0	3.53E-12	2.2592E-12	31	70	0	1.06E-10	6.78401E-11
31	71	0	1.49E-9	9.53601E-10	31	72	1	1.76E-8	1.1264E-8
31	72	0	1.76E-8	1.1264E-8	31	73	0	3.54E-7	2.2656E-7
31	74	1	9.15001E-7	5.85601E-7	31	74	0	9.15001E-7	5.85601E-7
31	75	0	6.63001E-6	4.2432E-6	31	76	0	2.262E-5	1.44768E-5
31	77	0	4.83701E-5	3.09568E-5	31	78	0	6.43401E-5	4.11776E-5
31	79	0	5.22601E-5	3.34464E-5	31	80	0	2.787E-5	1.78368E-5
31	81	0	8.26001E-6	5.28641E-6	31	82	0	1.79E-6	1.1456E-6
31	83	0	2.3E-7	1.472E-7	31	84	0	1.72E-8	1.1008E-8
31	85	0	7.78941E-10	4.98522E-10	31	86	0	1.74E-11	1.1136E-11
31	87	0	3.52197E-13	2.25406E-13	32	70	0	4.45E-14	2.848E-14
32	71	0	9.71001E-13	6.21441E-13	32	71	1	9.71001E-13	6.21441E-13
32	72	0	1.4E-10	8.96001E-11	32	73	0	3.45E-9	2.208E-9
32	73	1	7.07001E-10	4.5248E-10	32	74	0	6.17001E-8	3.9488E-8
32	75	0	7.57001E-8	4.84481E-8	32	75	1	5.55001E-7	3.552E-7
32	76	0	5.67001E-6	3.6288E-6	32	77	0	2.714E-5	1.73696E-5
32	77	1	3.7E-6	2.368E-6	32	78	0	1.0306E-4	6.59585E-5
32	79	1	1.06575E-4	6.82081E-5	32	79	0	1.06575E-4	6.82081E-5
32	80	0	2.9958E-4	1.91731E-4	32	81	0	2.5079E-4	1.60506E-4
32	82	0	1.5562E-4	9.95969E-5	32	83	0	5.94601E-5	3.80544E-5
32	84	0	1.398E-5	8.94721E-6	32	85	0	2.08E-6	1.3312E-6
32	86	0	1.55E-7	9.92001E-8	32	87	0	7.40966E-9	4.74218E-9
32	88	0	2.25E-10	1.44E-10	32	89	0	3.82632E-12	2.44885E-12
32	90	0	3.68185E-13	2.35638E-13	33	72	0	2.86E-14	1.8304E-14
33	73	0	2.66E-12	1.7024E-12	33	74	0	3.28E-11	2.0992E-11
33	74	1	8.86001E-11	5.67041E-11	33	75	0	3.85E-9	2.464E-9
