Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.05374E-16	6.74393E-17	23	67	0	1.28487E-17	8.22317E-18
23	68	0	6.56308E-19	4.20037E-19	24	66	0	2.88989E-12	1.84953E-12
24	67	0	2.98987E-13	1.91352E-13	24	68	0	1.79993E-14	1.15196E-14
24	69	0	2.45014E-16	1.56809E-16	24	71	0	1.90721E-18	1.22061E-18
25	66	0	6.06E-10	3.8784E-10	25	67	0	2.18E-10	1.3952E-10
25	68	0	3.54E-11	2.2656E-11	25	69	0	3.51976E-12	2.25264E-12
25	70	0	3.75E-13	2.4E-13	25	71	0	2.73981E-14	1.75348E-14
25	72	0	6.67246E-16	4.27038E-16	25	73	0	6.14503E-17	3.93282E-17
26	66	0	1.33E-8	8.512E-9	26	67	0	1.2E-8	7.68E-9
26	68	0	6.29E-9	4.0256E-9	26	69	0	1.68E-9	1.0752E-9
26	70	0	6.28E-10	4.0192E-10	26	71	0	1.24E-10	7.936E-11
26	72	0	1.82993E-11	1.17116E-11	26	73	0	1.42994E-12	9.15161E-13
26	74	0	1.22E-13	7.808E-14	26	75	0	3.39678E-15	2.17394E-15
27	66	0	1.31E-8	8.384E-9	27	67	0	3.41E-8	2.1824E-8
27	68	0	4.07E-8	2.6048E-8	27	69	0	3.37E-8	2.1568E-8
27	70	0	3.2E-8	2.048E-8	27	71	0	2.07E-8	1.3248E-8
27	72	0	8.24E-9	5.2736E-9	27	73	0	2.21E-9	1.4144E-9
27	74	0	5.28E-10	3.3792E-10	27	75	0	4.87966E-11	3.12298E-11
27	76	0	3.33E-12	2.1312E-12	27	77	0	1.00125E-13	6.40802E-14
27	78	0	9.04246E-15	5.78718E-15	28	66	0	1.88E-9	1.2032E-9
28	67	0	1.14E-8	7.296E-9	28	68	0	3.83E-8	2.4512E-8
28	69	0	7.12E-8	4.5568E-8	28	70	0	1.96E-7	1.2544E-7
28	71	0	2.93E-7	1.8752E-7	28	72	0	3.67E-7	2.3488E-7
28	73	0	2.46E-7	1.5744E-7	28	74	0	2.0E-7	1.28E-7
28	75	0	4.9E-8	3.136E-8	28	76	0	1.18E-8	7.552E-9
28	77	0	2.3299E-9	1.49114E-9	28	78	0	2.47991E-10	1.58714E-10
28	79	0	4.00931E-12	2.56596E-12	28	80	0	5.98E-13	3.8272E-13
28	81	0	2.86081E-14	1.83092E-14	29	66	0	9.67E-12	6.1888E-12
29	67	0	1.95E-10	1.248E-10	29	68	0	4.33E-10	2.7712E-10
29	68	1	1.17E-9	7.488E-10	29	69	0	9.15E-9	5.856E-9
29	70	0	1.28E-8	8.192E-9	29	70	1	4.55E-8	2.912E-8
29	71	0	2.43E-7	1.5552E-7	29	72	0	6.86E-7	4.3904E-7
29	73	0	1.32E-6	8.448E-7	29	74	0	2.57E-6	1.6448E-6
29	75	0	1.96E-6	1.2544E-6	29	76	0	1.23E-6	7.872E-7
29	77	0	8.31E-7	5.3184E-7	29	78	0	2.36E-7	1.5104E-7
29	79	0	5.7596E-8	3.68614E-8	29	80	0	5.57E-9	3.5648E-9
29	81	0	4.10971E-10	2.63022E-10	29	82	0	1.39E-11	8.896E-12
29	83	0	3.63975E-13	2.32944E-13	29	84	0	1.77568E-14	1.13643E-14
30	67	0	2.52E-13	1.6128E-13	30	68	0	7.01E-12	4.4864E-12
30	69	0	1.81E-11	1.1584E-11	30	69	1	8.84E-11	5.6576E-11
30	70	0	2.23E-9	1.4272E-9	30	71	0	3.82E-9	2.4448E-9
30	71	1	1.86E-8	1.1904E-8	30	72	0	1.91E-7	1.2224E-7
30	73	0	8.19E-7	5.2416E-7	30	74	0	4.57E-6	2.9248E-6
30	75	0	7.67E-6	4.9088E-6	30	76	0	1.439E-5	9.2096E-6
30	77	0	2.361E-5	1.51104E-5	30	78	0	2.119E-5	1.35616E-5
30	79	0	1.362E-5	8.7168E-6	30	80	0	4.41E-6	2.8224E-6
30	81	0	9.02E-7	5.7728E-7	30	82	0	1.09E-7	6.976E-8
30	83	0	8.46964E-9	5.42057E-9	30	84	0	4.86982E-10	3.11669E-10
30	85	0	5.83299E-12	3.73311E-12	30	86	0	1.5E-13	9.6E-14
31	69	0	4.71E-14	3.0144E-14	31	70	0	2.73E-12	1.7472E-12
31	71	0	9.21E-11	5.8944E-11	31	72	1	1.035E-9	6.624E-10
31	72	0	1.035E-9	6.624E-10	31	73	0	2.8E-8	1.792E-8
31	74	1	1.905E-7	1.2192E-7	31	74	0	1.905E-7	1.2192E-7
31	75	0	1.86E-6	1.1904E-6	31	76	0	7.9E-6	5.056E-6
31	77	0	3.705E-5	2.3712E-5	31	78	0	7.401E-5	4.73664E-5
31	79	0	1.4355E-4	9.1872E-5	31	80	0	1.1194E-4	7.16416E-5
31	81	0	7.52E-5	4.8128E-5	31	82	0	2.425E-5	1.552E-5
31	83	0	6.36E-6	4.0704E-6	31	84	0	1.05E-6	6.72E-7
31	85	0	8.37942E-8	5.36283E-8	31	86	0	3.74E-9	2.3936E-9
31	87	0	2.96509E-11	1.89766E-11	31	88	0	1.41471E-12	9.05413E-13
31	89	0	2.03333E-13	1.30133E-13	32	71	0	1.31E-14	8.384E-15
32	71	1	1.31E-14	8.384E-15	32	72	0	2.11E-12	1.3504E-12
32	73	0	6.31E-11	4.0384E-11	32	73	1	1.29E-11	8.256E-12
32	74	0	3.55E-9	2.272E-9	32	75	0	5.27E-9	3.3728E-9
32	75	1	3.87E-8	2.4768E-8	32	76	0	5.98E-7	3.8272E-7
32	77	0	5.93E-6	3.7952E-6	32	77	1	8.08E-7	5.1712E-7
32	78	0	3.86E-5	2.4704E-5	32	79	1	8.4205E-5	5.38912E-5
32	79	0	8.4205E-5	5.38912E-5	32	80	0	3.675E-4	2.352E-4
32	81	0	5.6923E-4	3.64307E-4	32	82	0	5.6234E-4	3.59898E-4
32	83	0	3.6005E-4	2.30432E-4	32	84	0	2.0312E-4	1.29997E-4
32	85	0	4.507E-5	2.88448E-5	32	86	0	7.74E-6	4.9536E-6
32	87	0	6.8997E-7	4.41581E-7	32	88	0	3.87986E-8	2.48311E-8
32	89	0	4.73151E-9	3.02817E-9	32	90	0	8.77173E-12	5.61391E-12
32	91	0	1.23436E-12	7.8999E-13	33	74	0	2.61E-13	1.6704E-13
33	74	1	7.05E-13	4.512E-13	33	75	0	4.12E-11	2.6368E-11
33	76	0	1.53E-9	9.792E-10	33	77	0	5.86E-8	3.7504E-8
33	78	0	8.41E-7	5.3824E-7	33	79	0	1.158E-5	7.4112E-6
33	80	0	5.832E-5	3.73248E-5	33	81	0	2.6289E-4	1.6825E-4
33	82	0	2.912E-4	1.86368E-4	33	82	1	2.912E-4	1.86368E-4
33	83	0	0.00104633	6.69651E-4	33	84	1	7.08925E-4	4.53712E-4
33	84	0	7.08925E-4	4.53712E-4	33	85	0	0.00100805	6.45152E-4
33	86	0	4.8125E-4	3.08E-4	33	87	0	1.584E-4	1.01376E-4
33	88	0	2.657E-5	1.70048E-5	33	89	0	3.26527E-6	2.08977E-6
33	90	0	1.06918E-7	6.84277E-8	33	91	0	1.77323E-8	1.13486E-8
33	92	0	6.38077E-11	4.08369E-11	33	93	0	5.06093E-12	3.239E-12
33	94	0	1.25428E-13	8.02738E-14	34	76	0	3.42E-13	2.1888E-13
34	77	0	4.41E-12	2.8224E-12	34	77	1	3.23E-11	2.0672E-11
34	78	0	1.81E-9	1.1584E-9	34	79	0	5.94E-8	3.8016E-8
34	79	1	8.09E-9	5.1776E-9	34	80	0	1.11E-6	7.104E-7
34	81	0	1.53E-6	9.792E-7	34	81	1	1.121E-5	7.1744E-6
34	82	0	8.767E-5	5.61088E-5	34	83	0	2.9846E-4	1.91014E-4
34	83	1	6.113E-5	3.91232E-5	34	84	0	0.00123443	7.90035E-4
34	85	0	0.00117387	7.51277E-4	34	85	1	0.00115385	7.38464E-4
34	86	0	0.00343853	0.00220066	34	87	0	0.00300158	0.00192101
34	88	0	0.0017478	0.00111859	34	89	0	6.1177E-4	3.91533E-4
34	90	0	1.40863E-4	9.01524E-5	34	91	0	1.98223E-5	1.26863E-5
34	92	0	1.74994E-6	1.11996E-6	34	93	0	1.17767E-7	7.53709E-8
34	94	0	3.43987E-9	2.20152E-9	34	95	0	2.07838E-11	1.33016E-11
34	96	0	7.56E-13	4.8384E-13	35	78	0	1.07E-13	6.848E-14
35	79	0	3.02E-12	1.9328E-12	35	79	1	1.14E-11	7.296E-12
35	80	0	1.41E-10	9.024E-11	35	80	1	5.01E-10	3.2064E-10
35	81	0	2.58E-8	1.6512E-8	35	82	0	3.49E-7	2.2336E-7
35	82	1	1.29E-7	8.256E-8	35	83	0	6.34E-6	4.0576E-6
35	84	0	2.091E-5	1.33824E-5	35	84	1	4.442E-5	2.84288E-5
35	85	0	3.3452E-4	2.14093E-4	35	86	0	6.2242E-4	3.98349E-4
35	86	1	6.2242E-4	3.98349E-4	35	87	0	0.00266817	0.00170763
35	88	0	0.00431984	0.0027647	35	89	0	0.00521909	0.00334022
35	90	0	0.00320167	0.00204907	35	91	0	0.00156166	9.99463E-4
35	92	0	3.894E-4	2.49216E-4	35	93	0	8.12722E-5	5.20142E-5
35	94	0	8.36E-6	5.3504E-6	35	95	0	2.9857E-7	1.91085E-7
35	96	0	2.13E-8	1.3632E-8	35	97	0	1.58568E-10	1.01483E-10
35	98	0	6.92769E-12	4.43372E-12	35	99	0	2.89636E-12	1.85367E-12
36	80	0	3.1E-14	1.984E-14	36	81	0	3.12E-12	1.9968E-12
36	81	1	4.26E-13	2.7264E-13	36	82	0	2.36E-10	1.5104E-10
36	83	0	7.0E-9	4.48E-9	36	83	1	1.43E-9	9.152E-10
