Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	3.0676E-17	1.96327E-17	23	67	0	2.82263E-18	1.80648E-18
24	66	0	7.44969E-13	4.7678E-13	24	67	0	5.67972E-14	3.63502E-14
24	69	0	1.03826E-16	6.64486E-17	25	66	0	5.15E-10	3.296E-10
25	67	0	1.21E-10	7.744E-11	25	68	0	1.41E-11	9.024E-12
25	69	0	1.4099E-12	9.02334E-13	25	70	0	7.63E-14	4.8832E-14
25	72	0	1.44116E-16	9.2234E-17	26	66	0	2.03E-8	1.2992E-8
26	67	0	1.39E-8	8.896E-9	26	68	0	4.8E-9	3.072E-9
26	69	0	1.47E-9	9.408E-10	26	70	0	2.48E-10	1.5872E-10
26	71	0	3.27E-11	2.0928E-11	26	72	0	3.49986E-12	2.23991E-12
26	73	0	1.93E-13	1.2352E-13	26	75	0	4.33713E-16	2.77576E-16
27	66	0	5.95E-8	3.808E-8	27	67	0	1.06E-7	6.784E-8
27	68	0	9.89E-8	6.3296E-8	27	69	0	8.58E-8	5.4912E-8
27	70	0	4.24E-8	2.7136E-8	27	71	0	1.68E-8	1.0752E-8
27	72	0	5.55E-9	3.552E-9	27	73	0	9.58E-10	6.1312E-10
27	74	0	9.7E-11	6.208E-11	27	75	0	5.88957E-12	3.76932E-12
27	76	0	2.77E-13	1.7728E-13	27	77	0	8.39832E-15	5.37492E-15
28	66	0	1.51E-8	9.664E-9	28	67	0	6.83E-8	4.3712E-8
28	68	0	1.61E-7	1.0304E-7	28	69	0	3.55E-7	2.272E-7
28	70	0	4.63E-7	2.9632E-7	28	71	0	5.06E-7	3.2384E-7
28	72	0	4.78E-7	3.0592E-7	28	73	0	2.45E-7	1.568E-7
28	74	0	7.54E-8	4.8256E-8	28	75	0	1.42E-8	9.088E-9
28	76	0	2.1E-9	1.344E-9	28	77	0	1.68992E-10	1.08155E-10
28	78	0	1.04E-11	6.656E-12	28	79	0	2.70242E-13	1.72955E-13
29	66	0	2.75E-10	1.76E-10	29	67	0	3.5E-9	2.24E-9
29	68	0	6.69E-9	4.2816E-9	29	68	1	1.56E-8	9.984E-9
29	69	0	1.28E-7	8.192E-8	29	70	0	1.05E-7	6.72E-8
29	70	1	3.15E-7	2.016E-7	29	71	0	1.16E-6	7.424E-7
29	72	0	2.82E-6	1.8048E-6	29	73	0	3.86E-6	2.4704E-6
29	74	0	3.33E-6	2.1312E-6	29	75	0	1.82E-6	1.1648E-6
29	76	0	8.05E-7	5.152E-7	29	77	0	2.0E-7	1.28E-7
29	78	0	3.8E-8	2.432E-8	29	79	0	3.66973E-9	2.34863E-9
29	80	0	2.23E-10	1.4272E-10	29	81	0	7.39E-12	4.7296E-12
29	82	0	1.88E-13	1.2032E-13	29	83	0	1.08333E-14	6.93333E-15
30	66	0	2.8E-13	1.792E-13	30	67	0	1.09E-11	6.976E-12
30	68	0	2.07E-10	1.3248E-10	30	69	0	6.51E-10	4.1664E-10
30	69	1	2.77E-9	1.7728E-9	30	70	0	3.13E-8	2.0032E-8
30	71	0	4.35E-8	2.784E-8	30	71	1	1.86E-7	1.1904E-7
30	72	0	1.43E-6	9.152E-7	30	73	0	4.93E-6	3.1552E-6
30	74	0	1.074E-5	6.8736E-6	30	75	0	1.532E-5	9.8048E-6
30	76	0	1.846E-5	1.18144E-5	30	77	0	1.299E-5	8.3136E-6
30	78	0	7.28E-6	4.6592E-6	30	79	0	2.13E-6	1.3632E-6
30	80	0	4.11E-7	2.6304E-7	30	81	0	4.39E-8	2.8096E-8
30	82	0	3.65E-9	2.336E-9	30	83	0	2.17989E-10	1.39513E-10
30	84	0	5.45E-12	3.488E-12	30	85	0	2.15015E-13	1.3761E-13
31	68	0	1.03E-13	6.592E-14	31	69	0	5.27E-12	3.3728E-12
31	70	0	1.46E-10	9.344E-11	31	71	0	3.15E-9	2.016E-9
31	72	1	2.8E-8	1.792E-8	31	72	0	2.8E-8	1.792E-8
31	73	0	5.28E-7	3.3792E-7	31	74	1	1.51E-6	9.664E-7
31	74	0	1.51E-6	9.664E-7	31	75	0	1.092E-5	6.9888E-6
31	76	0	3.307E-5	2.11648E-5	31	77	0	5.945E-5	3.8048E-5
31	78	0	8.828E-5	5.64992E-5	31	79	0	7.13E-5	4.5632E-5
31	80	0	4.078E-5	2.60992E-5	31	81	0	1.335E-5	8.544E-6
31	82	0	3.49E-6	2.2336E-6	31	83	0	6.87E-7	4.3968E-7
31	84	0	5.75E-8	3.68E-8	31	85	0	2.91978E-9	1.86866E-9
31	86	0	7.54E-11	4.8256E-11	31	87	0	1.22248E-12	7.82385E-13
31	88	0	4.027E-14	2.57728E-14	32	70	0	3.53E-14	2.2592E-14
32	71	0	1.19E-12	7.616E-13	32	71	1	1.19E-12	7.616E-13
32	72	0	1.3E-10	8.32E-11	32	73	0	2.98E-9	1.9072E-9
32	73	1	7.0E-10	4.48E-10	32	74	0	6.14E-8	3.9296E-8
32	75	0	8.11E-8	5.1904E-8	32	75	1	5.43E-7	3.4752E-7
32	76	0	5.08E-6	3.2512E-6	32	77	0	2.053E-5	1.31392E-5
32	77	1	3.07E-6	1.9648E-6	32	78	0	8.835E-5	5.6544E-5
32	79	1	8.994E-5	5.75616E-5	32	79	0	8.994E-5	5.75616E-5
32	80	0	2.728E-4	1.74592E-4	32	81	0	2.4701E-4	1.58086E-4
32	82	0	1.8694E-4	1.19642E-4	32	83	0	1.1389E-4	7.28896E-5
32	84	0	3.049E-5	1.95136E-5	32	85	0	4.91E-6	3.1424E-6
32	86	0	4.22E-7	2.7008E-7	32	87	0	2.45988E-8	1.57432E-8
32	88	0	9.7796E-10	6.25894E-10	32	89	0	1.78934E-11	1.14518E-11
32	90	0	1.18701E-12	7.59684E-13	33	72	0	1.52E-14	9.728E-15
33	73	0	1.36E-12	8.704E-13	33	74	0	2.11E-11	1.3504E-11
33	74	1	4.92E-11	3.1488E-11	33	75	0	2.18E-9	1.3952E-9
33	76	0	5.27E-8	3.3728E-8	33	77	0	7.05E-7	4.512E-7
