Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.37782E-17	8.81805E-18	23	67	0	6.56914E-19	4.20425E-19
24	66	0	7.33989E-13	4.69753E-13	24	67	0	2.58994E-14	1.65756E-14
24	69	0	2.47981E-17	1.58708E-17	25	66	0	6.74002E-10	4.31361E-10
25	67	0	9.96003E-11	6.37442E-11	25	68	0	7.17002E-12	4.58881E-12
25	69	0	4.52977E-13	2.89905E-13	25	70	0	1.60001E-14	1.024E-14
25	72	0	1.32338E-17	8.46965E-18	26	66	0	7.53002E-8	4.81922E-8
26	67	0	2.90001E-8	1.85601E-8	26	68	0	8.22003E-9	5.26082E-9
26	69	0	1.38E-9	8.83203E-10	26	70	0	2.00001E-10	1.28E-10
26	71	0	1.32E-11	8.44803E-12	26	72	0	7.04989E-13	4.51193E-13
26	73	0	1.78001E-14	1.1392E-14	27	66	0	2.07001E-7	1.3248E-7
27	67	0	2.77001E-7	1.77281E-7	27	68	0	1.85001E-7	1.184E-7
27	69	0	1.16E-7	7.42402E-8	27	70	0	4.28001E-8	2.73921E-8
27	71	0	1.16E-8	7.42402E-9	27	72	0	1.66001E-9	1.0624E-9
27	73	0	1.72001E-10	1.1008E-10	27	74	0	8.90003E-12	5.69602E-12
27	75	0	4.22001E-13	2.70081E-13	27	77	0	2.56171E-16	1.63949E-16
28	66	0	1.14E-7	7.29602E-8	28	67	0	3.34001E-7	2.13761E-7
28	68	0	7.16002E-7	4.58241E-7	28	69	0	9.78003E-7	6.25922E-7
28	70	0	1.25E-6	8.00003E-7	28	71	0	8.35003E-7	5.34402E-7
28	72	0	4.53001E-7	2.89921E-7	28	73	0	1.21E-7	7.74402E-8
28	74	0	2.51001E-8	1.60641E-8	28	75	0	3.32001E-9	2.12481E-9
28	76	0	3.17001E-10	2.02881E-10	28	77	0	1.00998E-11	6.46386E-12
28	78	0	3.68001E-13	2.35521E-13	28	79	0	9.14189E-15	5.85081E-15
29	66	0	1.63001E-9	1.0432E-9	29	67	0	1.76001E-8	1.1264E-8
29	68	0	2.56001E-8	1.63841E-8	29	68	1	5.97002E-8	3.82081E-8
29	69	0	3.81001E-7	2.43841E-7	29	70	0	2.58001E-7	1.65121E-7
29	70	1	7.74002E-7	4.95362E-7	29	71	0	2.29001E-6	1.4656E-6
29	72	0	2.75001E-6	1.76001E-6	29	73	0	2.59001E-6	1.65761E-6
29	74	0	1.31E-6	8.38403E-7	29	75	0	6.86002E-7	4.39041E-7
29	76	0	1.71001E-7	1.0944E-7	29	77	0	2.28001E-8	1.4592E-8
29	78	0	2.39001E-9	1.5296E-9	29	79	0	1.66991E-10	1.06874E-10
29	80	0	4.33001E-12	2.77121E-12	29	81	0	8.53003E-14	5.45922E-14
30	66	0	2.93001E-12	1.87521E-12	30	67	0	8.52003E-11	5.45282E-11
30	68	0	1.59001E-9	1.0176E-9	30	69	0	3.30001E-9	2.11201E-9
30	69	1	1.4E-8	8.96003E-9	30	70	0	1.65001E-7	1.056E-7
30	71	0	1.59001E-7	1.0176E-7	30	71	1	6.77002E-7	4.33281E-7
30	72	0	3.25001E-6	2.08001E-6	30	73	0	6.50002E-6	4.16001E-6
30	74	0	1.076E-5	6.88642E-6	30	75	0	1.303E-5	8.33923E-6
30	76	0	1.167E-5	7.46882E-6	30	77	0	3.98001E-6	2.54721E-6
30	78	0	1.72001E-6	1.1008E-6	30	79	0	3.39001E-7	2.16961E-7
30	80	0	4.06001E-8	2.59841E-8	30	81	0	2.47001E-9	1.58081E-9
30	82	0	1.02E-10	6.52802E-11	30	83	0	2.30001E-12	1.472E-12
30	84	0	2.24001E-14	1.4336E-14	31	67	0	1.09E-14	6.97602E-15
31	68	0	5.45002E-13	3.48801E-13	31	69	0	2.39001E-11	1.5296E-11
31	70	0	5.90002E-10	3.77601E-10	31	71	0	1.16E-8	7.42402E-9
31	72	1	5.45002E-8	3.48801E-8	31	72	0	5.45002E-8	3.48801E-8
31	73	0	7.51002E-7	4.80642E-7	31	74	1	1.36E-6	8.70403E-7
31	74	0	1.36E-6	8.70403E-7	31	75	0	1.083E-5	6.93122E-6
31	76	0	2.06401E-5	1.32096E-5	31	77	0	2.40101E-5	1.53664E-5
31	78	0	2.53501E-5	1.62241E-5	31	79	0	1.93501E-5	1.2384E-5
31	80	0	6.62002E-6	4.23681E-6	31	81	0	1.80001E-6	1.152E-6
31	82	0	2.19001E-7	1.4016E-7	31	83	0	2.16001E-8	1.3824E-8
31	84	0	6.13002E-10	3.92321E-10	31	85	0	3.32001E-11	2.12481E-11
31	86	0	3.82001E-13	2.44481E-13	31	87	0	1.64355E-14	1.05187E-14
32	70	0	2.43001E-13	1.5552E-13	32	71	0	6.63002E-12	4.24321E-12
32	71	1	6.63002E-12	4.24321E-12	32	72	0	4.93002E-10	3.15521E-10
32	73	0	7.05002E-9	4.51201E-9	32	73	1	1.65001E-9	1.056E-9
32	74	0	1.18E-7	7.55202E-8	32	75	0	1.48E-7	9.47203E-8
32	75	1	9.88003E-7	6.32322E-7	32	76	0	7.34002E-6	4.69761E-6
32	77	0	1.64101E-5	1.05024E-5	32	77	1	2.45001E-6	1.56801E-6
32	78	0	6.70502E-5	4.29121E-5	32	79	1	5.80202E-5	3.71329E-5
32	79	0	5.80202E-5	3.71329E-5	32	80	0	1.5047E-4	9.63011E-5
32	81	0	1.0911E-4	6.98306E-5	32	82	0	5.46402E-5	3.49697E-5
32	83	0	1.477E-5	9.45283E-6	32	84	0	1.79001E-6	1.1456E-6
32	85	0	2.69001E-7	1.72161E-7	32	86	0	1.32E-8	8.44803E-9
32	87	0	6.47986E-10	4.14711E-10	32	88	0	1.48E-11	9.47203E-12
32	89	0	3.91404E-13	2.50499E-13	32	90	0	4.94996E-14	3.16797E-14
33	72	0	3.84001E-14	2.45761E-14	33	73	0	2.77001E-12	1.77281E-12
33	74	0	2.99001E-11	1.91361E-11	33	74	1	6.98002E-11	4.46721E-11
33	75	0	3.91001E-9	2.50241E-9	33	76	0	6.39002E-8	4.08961E-8
33	77	0	6.20002E-7	3.96801E-7	33	78	0	5.37002E-6	3.43681E-6
33	79	0	3.25001E-5	2.08001E-5	33	80	0	9.91403E-5	6.34498E-5
33	81	0	2.56261E-4	1.64007E-4	33	82	0	1.5319E-4	9.80419E-5
33	82	1	1.5319E-4	9.80419E-5	33	83	0	3.07391E-4	1.9673E-4
33	84	1	4.81602E-5	3.08225E-5	33	84	0	4.81602E-5	3.08225E-5
33	85	0	5.73802E-5	3.67233E-5	33	86	0	7.59002E-6	4.85762E-6
33	87	0	1.55E-6	9.92003E-7	33	88	0	9.93003E-8	6.35522E-8
33	89	0	7.14963E-9	4.57576E-9	33	90	0	6.69182E-10	4.28277E-10
33	91	0	1.89972E-12	1.21582E-12	33	92	0	6.47613E-14	4.14472E-14
34	75	0	1.02E-12	6.52802E-13	34	76	0	6.76002E-11	4.32641E-11
34	77	0	4.64001E-10	2.96961E-10	34	77	1	3.11001E-9	1.99041E-9
