Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.60612E-16	1.02792E-16	23	67	0	1.56056E-17	9.98757E-18
24	66	0	1.40984E-12	9.02297E-13	24	67	0	1.36984E-13	8.767E-14
24	69	0	4.15769E-16	2.66092E-16	25	66	0	4.61E-10	2.9504E-10
25	67	0	1.27E-10	8.128E-11	25	68	0	2.56E-11	1.6384E-11
25	69	0	3.64958E-12	2.33573E-12	25	70	0	3.31E-13	2.1184E-13
25	71	0	1.97E-14	1.2608E-14	25	72	0	1.17327E-15	7.50891E-16
25	73	0	9.86455E-17	6.31331E-17	26	66	0	1.16E-8	7.424E-9
26	67	0	8.49E-9	5.4336E-9	26	68	0	4.59E-9	2.9376E-9
26	69	0	1.84E-9	1.1776E-9	26	70	0	4.78E-10	3.0592E-10
26	71	0	8.23E-11	5.2672E-11	26	72	0	1.02988E-11	6.59125E-12
26	73	0	8.65901E-13	5.54177E-13	26	74	0	4.39E-14	2.8096E-14
26	75	0	2.68826E-15	1.72049E-15	27	66	0	2.38E-8	1.5232E-8
27	67	0	4.27E-8	2.7328E-8	27	68	0	5.67E-8	3.6288E-8
27	69	0	5.93E-8	3.7952E-8	27	70	0	4.16E-8	2.6624E-8
27	71	0	1.99E-8	1.2736E-8	27	72	0	7.01E-9	4.4864E-9
27	73	0	1.66E-9	1.0624E-9	27	74	0	2.45E-10	1.568E-10
27	75	0	2.35973E-11	1.51023E-11	27	76	0	1.53E-12	9.792E-13
27	77	0	6.84595E-14	4.38141E-14	27	78	0	5.46765E-15	3.4993E-15
28	66	0	5.23E-9	3.3472E-9	28	67	0	2.29E-8	1.4656E-8
28	68	0	7.11E-8	4.5504E-8	28	69	0	1.79E-7	1.1456E-7
28	70	0	3.1E-7	1.984E-7	28	71	0	3.77E-7	2.4128E-7
28	72	0	3.52E-7	2.2528E-7	28	73	0	2.21E-7	1.4144E-7
28	74	0	9.12E-8	5.8368E-8	28	75	0	2.51E-8	1.6064E-8
28	76	0	4.71E-9	3.0144E-9	28	77	0	6.00932E-10	3.84596E-10
28	78	0	4.79945E-11	3.07165E-11	28	79	0	1.13226E-12	7.24646E-13
28	80	0	8.12E-14	5.1968E-14	29	66	0	8.74E-11	5.5936E-11
29	67	0	1.02E-9	6.528E-10	29	68	0	1.42E-9	9.088E-10
29	68	1	6.49E-9	4.1536E-9	29	69	0	4.94E-8	3.1616E-8
29	70	0	3.1E-8	1.984E-8	29	70	1	1.76E-7	1.1264E-7
29	71	0	6.03E-7	3.8592E-7	29	72	0	1.36E-6	8.704E-7
29	73	0	2.08E-6	1.3312E-6	29	74	0	2.22E-6	1.4208E-6
29	75	0	1.63E-6	1.0432E-6	29	76	0	8.44E-7	5.4016E-7
29	77	0	2.95E-7	1.888E-7	29	78	0	6.75E-8	4.32E-8
29	79	0	9.93887E-9	6.36088E-9	29	80	0	9.71E-10	6.2144E-10
