Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.37035E-15	8.77027E-16	23	67	0	1.43622E-16	9.19179E-17
24	66	0	2.1104E-11	1.35065E-11	24	67	0	1.62027E-12	1.03697E-12
24	68	0	7.45188E-14	4.7692E-14	24	69	0	4.72744E-15	3.02556E-15
25	66	0	7.99202E-9	5.11489E-9	25	67	0	1.72043E-9	1.10108E-9
25	68	0	2.25057E-10	1.44036E-10	25	69	0	2.40013E-11	1.53609E-11
25	70	0	1.43036E-12	9.15431E-13	25	71	0	5.36135E-14	3.43127E-14
25	72	0	1.21448E-15	7.7727E-16	26	66	0	2.22056E-7	1.42116E-7
26	67	0	1.26032E-7	8.06604E-8	26	68	0	4.47113E-8	2.86152E-8
26	69	0	1.29033E-8	8.25808E-9	26	70	0	2.17055E-9	1.38915E-9
26	71	0	2.32059E-10	1.48517E-10	26	72	0	1.87035E-11	1.19702E-11
26	73	0	1.15029E-12	7.36186E-13	26	74	0	3.83097E-14	2.45182E-14
26	75	0	3.4274E-15	2.19353E-15	27	66	0	5.59141E-7	3.5785E-7
27	67	0	7.72195E-7	4.94205E-7	27	68	0	6.83172E-7	4.3723E-7
27	69	0	4.97125E-7	3.1816E-7	27	70	0	2.23056E-7	1.42756E-7
27	71	0	6.52165E-8	4.17385E-8	27	72	0	1.47037E-8	9.41038E-9
27	73	0	2.49063E-9	1.594E-9	27	74	0	2.3706E-10	1.51718E-10
27	75	0	1.7401E-11	1.11366E-11	27	76	0	7.72195E-13	4.94205E-13
27	77	0	2.01248E-14	1.28799E-14	27	78	0	8.96251E-16	5.73601E-16
28	66	0	1.44036E-7	9.21833E-8	28	67	0	4.7512E-7	3.04077E-7
28	68	0	9.95251E-7	6.36961E-7	28	69	0	1.69043E-6	1.08187E-6
28	70	0	1.86047E-6	1.1907E-6	28	71	0	1.37035E-6	8.77021E-7
28	72	0	8.09204E-7	5.17891E-7	28	73	0	3.61091E-7	2.31098E-7
28	74	0	9.47239E-8	6.06233E-8	28	75	0	1.95049E-8	1.24832E-8
28	76	0	2.46062E-9	1.5748E-9	28	77	0	2.27037E-10	1.45304E-10
28	78	0	1.38026E-11	8.83366E-12	28	79	0	4.92442E-13	3.15163E-13
28	80	0	1.55039E-14	9.9225E-15	29	66	0	3.21081E-9	2.05492E-9
29	67	0	2.7607E-8	1.76685E-8	29	68	0	4.3611E-8	2.7911E-8
29	68	1	1.02026E-7	6.52965E-8	29	69	0	5.87148E-7	3.75775E-7
29	70	0	3.84097E-7	2.45822E-7	29	70	1	1.15029E-6	7.36186E-7
29	71	0	2.69068E-6	1.72203E-6	29	72	0	3.81096E-6	2.43902E-6
29	73	0	4.11104E-6	2.63106E-6	29	74	0	2.7607E-6	1.76685E-6
29	75	0	1.51038E-6	9.666441E-7	29	76	0	5.1613E-7	3.30323E-7
29	77	0	1.32033E-7	8.45013E-8	29	78	0	2.26057E-8	1.44677E-8
29	79	0	2.50014E-9	1.60009E-9	29	80	0	2.03051E-10	1.29953E-10
29	81	0	1.03026E-11	6.59366E-12	29	82	0	3.61091E-13	2.31098E-13
29	83	0	1.60466E-14	1.02698E-14	30	66	0	5.11129E-12	3.27123E-12
30	67	0	1.22031E-10	7.80997E-11	30	68	0	1.75044E-9	1.12028E-9
30	69	0	3.48088E-9	2.22776E-9	30	69	1	1.48037E-8	9.47439E-9
30	70	0	1.23031E-7	7.87399E-8	30	71	0	1.02026E-7	6.52965E-8
30	71	1	4.33109E-7	2.7719E-7	30	72	0	1.83046E-6	1.1715E-6
30	73	0	4.56115E-6	2.91914E-6	30	74	0	7.29184E-6	4.66678E-6
30	75	0	9.65244E-6	6.17756E-6	30	76	0	8.29209E-6	5.30694E-6
30	77	0	5.50139E-6	3.52089E-6	30	78	0	2.52064E-6	1.61321E-6
30	79	0	7.41187E-7	4.7436E-7	30	80	0	1.69043E-7	1.08187E-7
30	81	0	2.43061E-8	1.55559E-8	30	82	0	2.43061E-9	1.55559E-9
30	83	0	1.8103E-10	1.15859E-10	30	84	0	6.76171E-12	4.32749E-12
30	85	0	5.31837E-13	3.40376E-13	31	67	0	3.5609E-14	2.27898E-14
31	68	0	1.45037E-12	9.28234E-13	31	69	0	4.14105E-11	2.65027E-11
31	70	0	7.68194E-10	4.91644E-10	31	71	0	9.03228E-9	5.78066E-9
31	72	1	4.04602E-8	2.58945E-8	31	72	0	4.04602E-8	2.58945E-8
31	73	0	5.00126E-7	3.20081E-7	31	74	1	9.80247E-7	6.27358E-7
31	74	0	9.80247E-7	6.27358E-7	31	75	0	6.21157E-6	3.9754E-6
31	76	0	1.26432E-5	8.09164E-6	31	77	0	2.00551E-5	1.28352E-5
31	78	0	2.25357E-5	1.44228E-5	31	79	0	1.64241E-5	1.05115E-5
31	80	0	9.80247E-6	6.27358E-6	31	81	0	3.80096E-6	2.43261E-6
31	82	0	1.05027E-6	6.7217E-7	31	83	0	2.15054E-7	1.37635E-7
31	84	0	2.28058E-8	1.45957E-8	31	85	0	2.70015E-9	1.7281E-9
31	86	0	1.35034E-10	8.64218E-11	31	87	0	2.25185E-12	1.44118E-12
31	88	0	1.22747E-13	7.85583E-14	32	70	0	3.20081E-13	2.04852E-13
32	71	0	5.33135E-12	3.41206E-12	32	71	1	5.33135E-12	3.41206E-12
32	72	0	2.67067E-10	1.70923E-10	32	73	0	3.5709E-9	2.28538E-9
32	73	1	8.37211E-10	5.35815E-10	32	74	0	4.63117E-8	2.96395E-8
32	75	0	4.94125E-8	3.1624E-8	32	75	1	3.30083E-7	2.11253E-7
32	76	0	1.94049E-6	1.24191E-6	32	77	0	6.49164E-6	4.15465E-6
32	77	1	9.70245E-7	6.20957E-7	32	78	0	1.9945E-5	1.27648E-5
32	79	1	1.68493E-5	1.07835E-5	32	79	0	1.68493E-5	1.07835E-5
32	80	0	4.84522E-5	3.10094E-5	32	81	0	4.66418E-5	2.98507E-5
