Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.17379E-16	7.51224E-17	24	66	0	4.02893E-13	2.57851E-13
24	67	0	2.28006E-14	1.45924E-14	25	66	0	3.07008E-10	1.96485E-10
25	67	0	4.49011E-11	2.87367E-11	25	68	0	4.29011E-12	2.74567E-12
25	69	0	3.17008E-13	2.02885E-13	25	70	0	1.56004E-14	9.98425E-15
26	66	0	2.05005E-8	1.31203E-8	26	67	0	7.46019E-9	4.77452E-9
26	68	0	1.85005E-9	1.18403E-9	26	69	0	3.51009E-10	2.24646E-10
26	70	0	4.46011E-11	2.85447E-11	26	71	0	4.35011E-12	2.78407E-12
26	72	0	2.42006E-13	1.54884E-13	26	73	0	1.05003E-14	6.72017E-15
27	66	0	1.39003E-7	8.89622E-8	27	67	0	1.18003E-7	7.55219E-8
27	68	0	7.20018E-8	4.60812E-8	27	69	0	3.36008E-8	2.15045E-8
27	70	0	1.07003E-8	6.84817E-9	27	71	0	2.65007E-9	1.69604E-9
27	72	0	3.8901E-10	2.48966E-10	27	73	0	4.40011E-11	2.81607E-11
27	74	0	3.39008E-12	2.16965E-12	27	75	0	1.61004E-13	1.03043E-13
28	66	0	1.12003E-7	7.16818E-8	28	67	0	2.12005E-7	1.35683E-7
28	68	0	2.97007E-7	1.90085E-7	28	69	0	3.17008E-7	2.02885E-7
28	70	0	2.38006E-7	1.52324E-7	28	71	0	1.43004E-7	9.15223E-8
28	72	0	5.33013E-8	3.41129E-8	28	73	0	1.52004E-8	9.72824E-9
28	74	0	3.00008E-9	1.92005E-9	28	75	0	3.77009E-10	2.41286E-10
28	76	0	3.79009E-11	2.42566E-11	28	77	0	2.60007E-12	1.66404E-12
28	78	0	1.33003E-13	8.51221E-14	28	79	0	1.12719E-14	7.21399E-15
29	66	0	1.05003E-8	6.72017E-9	29	67	0	4.56011E-8	2.91847E-8
29	68	0	4.41011E-8	2.82247E-8	29	68	1	1.03003E-7	6.59217E-8
29	69	0	3.50009E-7	2.24006E-7	29	70	0	1.47004E-7	9.40824E-8
29	70	1	4.40011E-7	2.81607E-7	29	71	0	7.9802E-7	5.10733E-7
29	72	0	7.05018E-7	4.51211E-7	29	73	0	4.80012E-7	3.07208E-7
29	74	0	2.31006E-7	1.47844E-7	29	75	0	7.42019E-8	4.74892E-8
29	76	0	1.89005E-8	1.20963E-8	29	77	0	3.34008E-9	2.13765E-9
29	78	0	4.43011E-10	2.83527E-10	29	79	0	3.86897E-11	2.47614E-11
29	80	0	2.51006E-12	1.60644E-12	29	81	0	1.05003E-13	6.72017E-14
30	66	0	9.58024E-11	6.13135E-11	30	67	0	1.03003E-9	6.59217E-10
30	68	0	8.1602E-9	5.22253E-9	30	69	0	8.66022E-9	5.54254E-9
30	69	1	3.69009E-8	2.36166E-8	30	70	0	1.75004E-7	1.12003E-7
30	71	0	1.01003E-7	6.46416E-8	30	71	1	4.31011E-7	2.75847E-7
30	72	0	1.07003E-6	6.84817E-7	30	73	0	1.63004E-6	1.04323E-6
30	74	0	1.79004E-6	1.14563E-6	30	75	0	1.38003E-6	8.83222E-7
30	76	0	8.48021E-7	5.42734E-7	30	77	0	3.69009E-7	2.36166E-7
30	78	0	1.23003E-7	7.8722E-8	30	79	0	2.81007E-8	1.79845E-8
30	80	0	4.70012E-9	3.00808E-9	30	81	0	5.14013E-10	3.28968E-10
30	82	0	4.65012E-11	2.97607E-11	30	83	0	2.22006E-12	1.42084E-12
30	84	0	7.9002E-14	5.05613E-14	31	66	0	7.53019E-14	4.81932E-14
31	67	0	2.08005E-12	1.33123E-12	31	68	0	4.29011E-11	2.74567E-11
31	69	0	5.97015E-10	3.8209E-10	31	70	0	5.59014E-9	3.57769E-9
31	71	0	4.0501E-8	2.59206E-8	31	72	1	9.65024E-8	6.17615E-8
31	72	0	9.65024E-8	6.17615E-8	31	73	0	6.67017E-7	4.26891E-7
31	74	1	8.20021E-7	5.24813E-7	31	74	0	8.20021E-7	5.24813E-7
31	75	0	2.86007E-6	1.83045E-6	31	76	0	3.9701E-6	2.54086E-6
31	77	0	3.9901E-6	2.55366E-6	31	78	0	3.15008E-6	2.01605E-6
31	79	0	1.79004E-6	1.14563E-6	31	80	0	7.44019E-7	4.76172E-7
31	81	0	2.06005E-7	1.31843E-7	31	82	0	4.78012E-8	3.05928E-8
31	83	0	6.07015E-9	3.8849E-9	31	84	0	5.62014E-10	3.59689E-10
31	85	0	4.1201E-11	2.63687E-11	31	86	0	1.82005E-12	1.16483E-12
31	87	0	1.54952E-13	9.9169E-14	32	68	0	1.89005E-14	1.20963E-14
32	69	0	6.82017E-13	4.36491E-13	32	70	0	1.63004E-11	1.04323E-11
32	71	0	1.49004E-10	9.53624E-11	32	71	1	1.49004E-10	9.53624E-11
32	72	0	3.61009E-9	2.31046E-9	32	73	0	2.44006E-8	1.56164E-8
32	73	1	5.73014E-9	3.66729E-9	32	74	0	1.75004E-7	1.12003E-7
32	75	0	9.32023E-8	5.96495E-8	32	75	1	6.24016E-7	3.9937E-7
32	76	0	2.24006E-6	1.43364E-6	32	77	0	4.34011E-6	2.77767E-6
32	77	1	6.49016E-7	4.1537E-7	32	78	0	8.80022E-6	5.63214E-6
32	79	1	5.81515E-6	3.72169E-6	32	79	0	5.81515E-6	3.72169E-6
32	80	0	1.12703E-5	7.21298E-6	32	81	0	7.46019E-6	4.77452E-6
32	82	0	4.25011E-6	2.72007E-6	32	83	0	1.38003E-6	8.83222E-7
32	84	0	3.26008E-7	2.08645E-7	32	85	0	6.16015E-8	3.9425E-8
32	86	0	7.24018E-9	4.63372E-9	32	87	0	5.31858E-10	3.40389E-10
32	88	0	3.31008E-11	2.11845E-11	32	89	0	1.87282E-12	1.1986E-12
33	71	0	1.87005E-13	1.19683E-13	33	72	0	5.97015E-12	3.8209E-12
33	73	0	1.27003E-10	8.1282E-11	33	74	0	5.54014E-10	3.54569E-10
33	74	1	1.29003E-9	8.25621E-10	33	75	0	1.91005E-8	1.22243E-8
33	76	0	1.42004E-7	9.08823E-8	33	77	0	7.42019E-7	4.74892E-7
33	78	0	2.98007E-6	1.90725E-6	33	79	0	8.98022E-6	5.74734E-6
33	80	0	1.93605E-5	1.23907E-5	33	81	0	2.87907E-5	1.84261E-5
33	82	0	1.88005E-5	1.20323E-5	33	82	1	1.88005E-5	1.20323E-5
33	83	0	2.94807E-5	1.88677E-5	33	84	1	8.40021E-6	5.37613E-6
33	84	0	8.40021E-6	5.37613E-6	33	85	0	7.8502E-6	5.02413E-6
33	86	0	2.38006E-6	1.52324E-6	33	87	0	4.59011E-7	2.93767E-7
33	88	0	7.57019E-8	4.84492E-8	33	89	0	6.42829E-9	4.1141E-9
33	90	0	1.73592E-10	1.11099E-10	33	91	0	2.55437E-11	1.6348E-11
33	92	0	1.5699E-12	1.00474E-12	34	73	0	3.63009E-14	2.32326E-14
34	74	0	1.68004E-12	1.07523E-12	34	75	0	4.57011E-11	2.92487E-11
34	76	0	8.64022E-10	5.52974E-10	34	77	0	1.46004E-9	9.34423E-10
34	77	1	9.75024E-9	6.24016E-9	34	78	0	1.09003E-7	6.97617E-8
34	79	0	6.97017E-7	4.46091E-7	34	79	1	1.04003E-7	6.65617E-8
34	80	0	3.9901E-6	2.55366E-6	34	81	0	1.74004E-6	1.11363E-6
34	81	1	1.16503E-5	7.45619E-6	34	82	0	3.8971E-5	2.49414E-5
34	83	0	5.63614E-5	3.60713E-5	34	83	1	1.32203E-5	8.46101E-6
34	84	0	8.97022E-5	5.74094E-5	34	85	0	4.85112E-5	3.10472E-5
34	85	1	4.85112E-5	3.10472E-5	34	86	0	7.17118E-5	4.58955E-5
34	87	0	3.45309E-5	2.20998E-5	34	88	0	1.45504E-5	9.31223E-6
34	89	0	3.29008E-6	2.10565E-6	34	90	0	5.95841E-7	3.81338E-7
34	91	0	8.76767E-8	5.61131E-8	34	92	0	5.38857E-9	3.44868E-9
34	93	0	1.35437E-10	8.66797E-11	34	94	0	5.24013E-12	3.35368E-12
35	77	0	3.42009E-12	2.18885E-12	35	77	1	1.14003E-11	7.29618E-12
35	78	0	3.70009E-10	2.36806E-10	35	79	0	1.61004E-9	1.03043E-9
35	79	1	5.38013E-9	3.44329E-9	35	80	0	2.15005E-8	1.37603E-8
35	80	1	6.44016E-8	4.1217E-8	35	81	0	6.95017E-7	4.44811E-7
35	82	0	3.32008E-6	2.12485E-6	35	82	1	1.42004E-6	9.08823E-7
35	83	0	1.98205E-5	1.26851E-5	35	84	0	2.06205E-5	1.31971E-5
35	84	1	3.66609E-5	2.3463E-5	35	85	0	1.37873E-4	8.8239E-5
35	86	0	1.16553E-4	7.45939E-5	35	86	1	1.16553E-4	7.45939E-5
35	87	0	2.61827E-4	1.67569E-4	35	88	0	2.64337E-4	1.69175E-4
35	89	0	1.50904E-4	9.65784E-5	35	90	0	6.89417E-5	4.41227E-5
35	91	0	2.68007E-5	1.71524E-5	35	92	0	4.32011E-6	2.76487E-6
35	93	0	4.64876E-7	2.97521E-7	35	94	0	3.05008E-8	1.95205E-8
35	95	0	5.15534E-10	3.29942E-10	35	96	0	8.1102E-11	5.19053E-11
35	97	0	5.35923E-12	3.42991E-12	36	78	0	1.04003E-13	6.65617E-14
36	79	1	2.61507E-12	1.67364E-12	36	79	0	2.61507E-12	1.67364E-12
36	80	0	1.65004E-10	1.05603E-10	36	81	0	2.95007E-9	1.88805E-9
36	81	1	4.41011E-10	2.82247E-10	36	82	0	5.79015E-8	3.70569E-8
36	83	0	4.90012E-7	3.13608E-7	36	83	1	1.15003E-7	7.36018E-8
36	84	0	4.1801E-6	2.67527E-6	36	85	0	1.89105E-5	1.21027E-5
36	85	1	4.44011E-6	2.84167E-6	36	86	0	9.14723E-5	5.85423E-5
36	87	0	2.34196E-4	1.49885E-4	36	88	0	5.37853E-4	3.44226E-4
36	89	0	7.22908E-4	4.62661E-4	36	90	0	7.7951E-4	4.98886E-4
36	91	0	7.52779E-4	4.81778E-4	36	92	0	3.02408E-4	1.93541E-4
36	93	0	8.31221E-5	5.31981E-5	36	94	0	1.45104E-5	9.28663E-6
36	95	0	1.76953E-6	1.1325E-6	36	96	0	2.77007E-7	1.77284E-7
36	97	0	1.83951E-8	1.17729E-8	36	98	0	7.50019E-10	4.80012E-10
36	99	0	5.44839E-11	3.48697E-11	36	100	0	3.9701E-13	2.54086E-13
37	81	0	1.39003E-12	8.89622E-13	37	83	0	1.68004E-9	1.07523E-9
37	84	0	2.93007E-8	1.87525E-8	37	85	0	4.0701E-7	2.60487E-7
37	86	1	1.97505E-6	1.26403E-6	37	86	0	1.97505E-6	1.26403E-6
37	87	0	2.44306E-5	1.56356E-5	37	88	0	1.31753E-4	8.43221E-5
37	89	0	4.1544E-4	2.65882E-4	37	90	0	1.93455E-4	1.23811E-4
37	90	1	8.24741E-4	5.27834E-4	37	91	0	0.00229402	0.00146817
37	92	0	0.00214563	0.00137321	37	93	0	0.0014099	9.02333E-4
37	94	0	6.19486E-4	3.96471E-4	37	95	0	1.94965E-4	1.24778E-4
37	96	0	7.8772E-5	5.04141E-5	37	97	0	1.39904E-5	8.95382E-6
37	98	0	1.55004E-6	9.92025E-7	37	99	0	1.87011E-7	1.19687E-7
37	100	0	6.21016E-9	3.9745E-9	37	101	0	2.31262E-10	1.48008E-10
37	102	0	1.25243E-11	8.01554E-12	38	83	0	3.8601E-13	2.47046E-13
38	84	0	1.75004E-11	1.12003E-11	38	85	1	3.13008E-10	2.00325E-10
38	85	0	3.13008E-10	2.00325E-10	38	86	0	1.59004E-8	1.01763E-8
38	87	0	2.04005E-7	1.30563E-7	38	87	1	4.79012E-8	3.06568E-8
38	88	0	3.42009E-6	2.18885E-6	38	89	0	2.70507E-5	1.73124E-5
38	90	0	1.58004E-4	1.01123E-4	38	91	0	8.44681E-4	5.40596E-4
38	92	0	0.00180019	0.00115212	38	93	0	0.00265928	0.00170194
