Z	A	FPS	Yield	Uncertainty	Z	A	FPS	Yield	Uncertainty
23	66	0	1.31208E-17	8.3973E-18	24	66	0	6.93988E-13	4.44153E-13
24	67	0	1.98E-14	1.2672E-14	24	69	0	1.25099E-17	8.00633E-18
25	66	0	1.66E-9	1.0624E-9	25	67	0	1.64E-10	1.0496E-10
25	68	0	9.59002E-12	6.13761E-12	25	69	0	3.69988E-13	2.36792E-13
25	72	0	3.89464E-18	2.49257E-18	26	66	0	1.71E-7	1.0944E-7
26	67	0	5.44001E-8	3.48161E-8	26	68	0	1.06E-8	6.78401E-9
26	69	0	1.4E-9	8.96002E-10	26	70	0	1.2E-10	7.68002E-11
26	71	0	6.38001E-12	4.08321E-12	26	72	0	2.05997E-13	1.31838E-13
27	66	0	9.83002E-7	6.29121E-7	27	67	0	8.96002E-7	5.73441E-7
27	68	0	5.29001E-7	3.38561E-7	27	69	0	2.2E-7	1.408E-7
27	70	0	6.22001E-8	3.98081E-8	27	71	0	1.11E-8	7.10401E-9
27	72	0	1.23E-9	7.87202E-10	27	73	0	8.45002E-11	5.40801E-11
27	74	0	3.91001E-12	2.50241E-12	27	75	0	9.98002E-14	6.38721E-14
27	77	0	4.86009E-17	3.11046E-17	28	66	0	4.19001E-7	2.68161E-7
28	67	0	1.02E-6	6.52801E-7	28	68	0	1.61E-6	1.0304E-6
28	69	0	1.86E-6	1.1904E-6	28	70	0	1.53E-6	9.79202E-7
28	71	0	8.39002E-7	5.36961E-7	28	72	0	2.98001E-7	1.9072E-7
28	73	0	6.81001E-8	4.35841E-8	28	74	0	1.07E-8	6.84801E-9
28	75	0	9.39002E-10	6.00961E-10	28	76	0	5.78001E-11	3.69921E-11
28	77	0	2.12996E-12	1.36317E-12	28	78	0	5.02001E-14	3.21281E-14
28	79	0	1.20704E-15	7.72503E-16	29	66	0	1.13E-8	7.23201E-9
29	67	0	8.16002E-8	5.22241E-8	29	68	0	1.09E-7	6.97601E-8
29	68	1	2.55001E-7	1.632E-7	29	69	0	1.14E-6	7.29602E-7
29	70	0	6.23001E-7	3.98721E-7	29	70	1	1.87E-6	1.1968E-6
29	71	0	3.69001E-6	2.3616E-6	29	72	0	3.71001E-6	2.3744E-6
29	73	0	2.52001E-6	1.6128E-6	29	74	0	1.24E-6	7.93602E-7
29	75	0	3.54001E-7	2.2656E-7	29	76	0	7.29002E-8	4.66561E-8
29	77	0	9.18002E-9	5.87521E-9	29	78	0	7.47002E-10	4.78081E-10
29	79	0	3.56989E-11	2.28473E-11	29	80	0	1.15E-12	7.36002E-13
29	81	0	2.43001E-14	1.5552E-14	30	66	0	1.39E-11	8.89602E-12
30	67	0	3.34001E-10	2.1376E-10	30	68	0	4.79001E-9	3.06561E-9
30	69	0	8.75002E-9	5.60001E-9	30	69	1	3.73001E-8	2.3872E-8
30	70	0	2.95001E-7	1.888E-7	30	71	0	2.3E-7	1.472E-7
30	71	1	9.81002E-7	6.27841E-7	30	72	0	3.25001E-6	2.08E-6
30	73	0	5.90001E-6	3.77601E-6	30	74	0	7.94002E-6	5.08161E-6
30	75	0	6.53001E-6	4.17921E-6	30	76	0	4.09001E-6	2.61761E-6
30	77	0	1.64E-6	1.0496E-6	30	78	0	4.38001E-7	2.80321E-7
30	79	0	7.05001E-8	4.51201E-8	30	80	0	7.83002E-9	5.01121E-9
30	81	0	5.54001E-10	3.54561E-10	30	82	0	2.12E-11	1.3568E-11
30	83	0	5.43001E-13	3.47521E-13	30	85	0	3.41486E-16	2.18551E-16
31	67	0	5.59001E-14	3.57761E-14	31	68	0	2.75001E-12	1.76E-12
31	69	0	8.88002E-11	5.68321E-11	31	70	0	1.86E-9	1.1904E-9
31	71	0	2.43001E-8	1.5552E-8	31	72	1	9.85002E-8	6.30401E-8
31	72	0	9.85002E-8	6.30401E-8	31	73	0	1.02E-6	6.52801E-7
31	74	1	1.875E-6	1.2E-6	31	74	0	1.875E-6	1.2E-6
31	75	0	8.22002E-6	5.26081E-6	31	76	0	1.38E-5	8.83202E-6
